Brand,Color,Fuel_Type,Transmission,Price
BMW,Green,Electric,Automatic,60827
Hyundai,Red,Hybrid,Automatic,15530
Mercedes,Red,Hybrid,Automatic,65838
BMW,Gray,Diesel,Manual,55690
Hyundai,Black,Petrol,Manual,35246
Nissan,Red,Electric,Manual,20906
Hyundai,Gray,Hybrid,Manual,28159
Ford,Gray,Electric,Manual,31840
Nissan,Silver,Electric,Manual,45692
Honda,Black,Diesel,Automatic,78390
Audi,Gray,Petrol,Automatic,15912
Hyundai,Blue,Hybrid,Automatic,59094
Hyundai,Green,Electric,Manual,59226
BMW,Yellow,Petrol,Automatic,74982
Mercedes,White,Petrol,Automatic,74597
Hyundai,Green,Petrol,Manual,17971
Toyota,Silver,Hybrid,Manual,21369
BMW,Black,Hybrid,Automatic,39314
Audi,Green,Diesel,Automatic,57920
Honda,Yellow,Hybrid,Automatic,17144
Kia,White,Hybrid,Automatic,77295
BMW,Gray,Petrol,Automatic,50682
Kia,Red,Hybrid,Automatic,27439
Honda,Yellow,Petrol,Manual,57054
Mercedes,Red,Petrol,Automatic,30962
Ford,White,Petrol,Manual,53429
BMW,White,Electric,Manual,66684
Mercedes,Red,Electric,Manual,79718
Ford,Silver,Diesel,Manual,58323
Toyota,Black,Petrol,Automatic,66772
BMW,Gray,Petrol,Manual,32391
Toyota,Black,Hybrid,Manual,63867
Honda,Yellow,Hybrid,Automatic,48635
Mercedes,Blue,Hybrid,Manual,76958
Mercedes,Red,Electric,Automatic,57161
Toyota,Red,Hybrid,Automatic,42936
Honda,Yellow,Hybrid,Manual,73934
Honda,Gray,Diesel,Manual,23270
Hyundai,Gray,Hybrid,Automatic,44734
Audi,Green,Petrol,Manual,70888
Audi,White,Hybrid,Automatic,73201
BMW,Green,Electric,Automatic,41131
Suzuki,Blue,Electric,Automatic,35481
Hyundai,Gray,Diesel,Automatic,19399
Honda,Blue,Petrol,Automatic,21328
Kia,Black,Petrol,Automatic,58909
Honda,Green,Electric,Automatic,71891
Toyota,Silver,Electric,Automatic,21789
Mercedes,White,Diesel,Automatic,29696
Honda,Gray,Electric,Manual,64978
Hyundai,White,Hybrid,Manual,54911
Hyundai,Red,Diesel,Automatic,61052
Hyundai,Gray,Electric,Manual,26888
Ford,Green,Petrol,Manual,63560
Toyota,Blue,Diesel,Automatic,42514
Nissan,Gray,Diesel,Automatic,35423
Kia,Blue,Petrol,Manual,25316
Mercedes,Red,Petrol,Automatic,44039
Suzuki,Yellow,Hybrid,Automatic,32902
BMW,Blue,Electric,Automatic,22267
Hyundai,Yellow,Electric,Manual,29451
Suzuki,Red,Petrol,Manual,34753
BMW,Black,Electric,Automatic,36503
Honda,Red,Hybrid,Automatic,26514
Ford,Green,Diesel,Automatic,19723
Suzuki,Red,Hybrid,Manual,45130
Honda,Gray,Hybrid,Automatic,61497
Suzuki,Silver,Petrol,Automatic,16366
Kia,Black,Hybrid,Automatic,20775
Suzuki,Blue,Diesel,Automatic,53592
Suzuki,Blue,Hybrid,Automatic,63877
Kia,White,Electric,Manual,20005
Audi,Blue,Diesel,Automatic,38009
Ford,White,Petrol,Manual,31775
BMW,Black,Diesel,Manual,26609
Nissan,Yellow,Hybrid,Automatic,71639
Kia,Black,Hybrid,Manual,45731
Nissan,Silver,Electric,Manual,38064
Audi,Blue,Electric,Automatic,44616
Toyota,Red,Electric,Automatic,20028
Honda,Green,Hybrid,Manual,44473
Mercedes,White,Electric,Automatic,47857
Ford,Red,Hybrid,Manual,68147
Kia,Blue,Diesel,Manual,31236
Nissan,Yellow,Diesel,Automatic,39435
Hyundai,Green,Hybrid,Automatic,59492
Mercedes,Red,Electric,Manual,36606
Honda,Green,Electric,Automatic,62430
Mercedes,Black,Electric,Manual,53190
Ford,Gray,Electric,Automatic,23450
Mercedes,Blue,Electric,Automatic,57171
Kia,Black,Petrol,Automatic,48324
Kia,Red,Electric,Automatic,26813
BMW,Gray,Hybrid,Manual,29846
Ford,Black,Petrol,Automatic,70340
Honda,Red,Electric,Manual,54141
Suzuki,Black,Diesel,Manual,69483
Mercedes,Black,Hybrid,Manual,41926
Kia,White,Hybrid,Automatic,64308
Nissan,White,Diesel,Automatic,78281
Nissan,White,Electric,Automatic,45256
Hyundai,Green,Hybrid,Manual,68535
BMW,Black,Electric,Manual,57020
Nissan,Gray,Petrol,Manual,33681
Honda,Black,Electric,Automatic,74330
Audi,Black,Hybrid,Manual,77024
BMW,Yellow,Electric,Manual,42190
Toyota,Green,Electric,Manual,40307
Honda,Gray,Diesel,Manual,35885
Honda,Gray,Diesel,Manual,17510
Hyundai,Yellow,Diesel,Automatic,44399
Mercedes,Red,Petrol,Manual,31772
BMW,Black,Hybrid,Manual,65867
Hyundai,White,Electric,Manual,18129
BMW,Green,Hybrid,Manual,22265
Nissan,Red,Diesel,Manual,34088
Suzuki,Red,Electric,Manual,52399
Suzuki,Black,Petrol,Automatic,19435
Audi,Red,Hybrid,Automatic,17853
Suzuki,Gray,Electric,Manual,38402
Honda,Gray,Diesel,Manual,65561
Mercedes,Gray,Diesel,Manual,38088
Audi,Gray,Diesel,Automatic,79278
Nissan,Black,Diesel,Manual,61926
Nissan,Red,Electric,Manual,17870
BMW,Red,Electric,Automatic,48776
Suzuki,Yellow,Electric,Manual,64367
BMW,Silver,Electric,Manual,71740
Kia,Silver,Petrol,Automatic,43636
Suzuki,Yellow,Hybrid,Automatic,78813
Ford,Yellow,Hybrid,Automatic,75575
Audi,Silver,Petrol,Automatic,20172
Suzuki,Black,Electric,Automatic,21723
Honda,Gray,Electric,Automatic,44223
Mercedes,Green,Diesel,Automatic,38038
Nissan,Red,Electric,Automatic,32993
Toyota,Blue,Hybrid,Automatic,48625
Ford,Red,Diesel,Automatic,17280
Ford,Blue,Diesel,Automatic,38733
Suzuki,Red,Diesel,Automatic,77182
Kia,Gray,Hybrid,Manual,52612
Ford,Gray,Hybrid,Automatic,57569
Hyundai,White,Petrol,Manual,63213
Ford,Yellow,Hybrid,Manual,32155
Hyundai,Yellow,Diesel,Automatic,60480
Nissan,White,Petrol,Manual,70890
Honda,Yellow,Diesel,Automatic,20753
Kia,Gray,Petrol,Automatic,73414
Hyundai,Black,Diesel,Automatic,48341
BMW,Blue,Diesel,Manual,30514
Nissan,Red,Electric,Automatic,45631
Audi,Black,Petrol,Manual,35269
Suzuki,Yellow,Hybrid,Automatic,68958
Mercedes,Blue,Diesel,Automatic,57096
Honda,Yellow,Hybrid,Automatic,23410
Audi,Black,Diesel,Automatic,47955
Toyota,Blue,Diesel,Automatic,25790
Ford,Gray,Diesel,Automatic,77094
Audi,Silver,Petrol,Automatic,27864
Audi,Silver,Diesel,Automatic,55267
Audi,Blue,Diesel,Manual,26219
Mercedes,Gray,Petrol,Manual,20323
Toyota,Silver,Diesel,Automatic,55508
Toyota,Yellow,Electric,Automatic,46650
BMW,Green,Electric,Automatic,19782
Toyota,Black,Hybrid,Automatic,46735
Nissan,White,Electric,Manual,35485
Kia,Gray,Hybrid,Manual,64850
Kia,Blue,Electric,Manual,45570
Honda,Silver,Hybrid,Manual,24232
Honda,Red,Electric,Automatic,71633
Mercedes,Green,Diesel,Manual,68312
Kia,Gray,Diesel,Manual,47654
Audi,Yellow,Hybrid,Automatic,47595
Toyota,Blue,Hybrid,Automatic,78352
BMW,White,Electric,Manual,18312
Hyundai,Yellow,Hybrid,Automatic,50172
Toyota,Blue,Hybrid,Manual,72832
Hyundai,Gray,Hybrid,Automatic,17965
Suzuki,Red,Diesel,Automatic,51256
Hyundai,Blue,Hybrid,Automatic,65095
Audi,Silver,Petrol,Manual,78903
Honda,Green,Electric,Automatic,51558
Kia,Black,Diesel,Automatic,47773
Toyota,Red,Petrol,Manual,61765
Kia,Yellow,Hybrid,Manual,54731
Audi,Black,Electric,Automatic,25649
Suzuki,Silver,Electric,Automatic,61447
Mercedes,Silver,Hybrid,Manual,39140
Kia,Blue,Hybrid,Automatic,67216
Toyota,Yellow,Electric,Manual,62277
Toyota,Yellow,Diesel,Automatic,24684
BMW,Red,Petrol,Manual,16241
Nissan,Gray,Hybrid,Manual,42063
BMW,Green,Hybrid,Manual,61253
Ford,White,Electric,Automatic,49437
Suzuki,Gray,Diesel,Automatic,74776
Audi,Gray,Electric,Automatic,54981
Nissan,White,Diesel,Automatic,51574
Hyundai,White,Electric,Automatic,61196
BMW,Yellow,Electric,Automatic,37859
Audi,Silver,Electric,Manual,52583
Audi,Green,Hybrid,Automatic,77561
Ford,Silver,Petrol,Automatic,77607
Honda,Gray,Hybrid,Automatic,63977
Nissan,White,Diesel,Automatic,76146
Audi,Silver,Diesel,Manual,55349
Mercedes,White,Diesel,Manual,58898
Audi,White,Diesel,Manual,21566
Suzuki,Gray,Hybrid,Manual,59642
Ford,Red,Diesel,Automatic,57787
Nissan,Yellow,Diesel,Automatic,36048
Hyundai,Red,Petrol,Manual,50071
Toyota,Black,Hybrid,Manual,76205
Toyota,Green,Hybrid,Manual,76381
Hyundai,Red,Petrol,Automatic,52221
Mercedes,Blue,Electric,Automatic,44776
Audi,Yellow,Diesel,Automatic,32880
BMW,Blue,Electric,Manual,62914
Nissan,Silver,Diesel,Manual,63274
Kia,Silver,Diesel,Manual,55039
Suzuki,Green,Electric,Manual,41269
Honda,Black,Diesel,Automatic,36207
BMW,Red,Electric,Automatic,30435
Nissan,Silver,Electric,Automatic,53172
Mercedes,Red,Electric,Automatic,60401
BMW,Red,Petrol,Automatic,35106
Ford,Green,Electric,Manual,56858
Hyundai,Gray,Diesel,Manual,77741
Ford,Yellow,Diesel,Automatic,64003
Mercedes,Gray,Hybrid,Automatic,64633
Audi,White,Diesel,Manual,49439
Nissan,Gray,Petrol,Manual,19047
Audi,White,Diesel,Manual,36503
Audi,Yellow,Petrol,Manual,61983
Mercedes,Yellow,Petrol,Automatic,67998
Toyota,Yellow,Diesel,Automatic,44936
Mercedes,Red,Hybrid,Automatic,62400
Toyota,Green,Electric,Manual,63877
BMW,Blue,Petrol,Automatic,37579
Honda,Red,Petrol,Automatic,17079
Hyundai,Green,Diesel,Manual,65189
Suzuki,Gray,Hybrid,Automatic,71991
Suzuki,Green,Petrol,Manual,57830
Kia,Blue,Diesel,Automatic,49658
Ford,White,Petrol,Manual,79126
Hyundai,Yellow,Hybrid,Automatic,68959
BMW,White,Hybrid,Automatic,25166
Hyundai,White,Petrol,Manual,68049
Suzuki,Red,Diesel,Manual,19409
Honda,Red,Hybrid,Manual,31038
Toyota,Green,Hybrid,Manual,50373
BMW,Red,Diesel,Automatic,30346
Mercedes,Gray,Electric,Manual,34776
Ford,White,Hybrid,Automatic,33032
Toyota,Black,Hybrid,Automatic,18072
Kia,Green,Electric,Automatic,41755
Ford,Silver,Hybrid,Manual,64441
Audi,Yellow,Diesel,Manual,34709
Ford,Yellow,Petrol,Automatic,78424
Suzuki,Black,Hybrid,Manual,31711
BMW,Gray,Petrol,Automatic,70517
Kia,Blue,Diesel,Manual,32593
Suzuki,Red,Petrol,Manual,67733
Mercedes,White,Hybrid,Manual,71981
Kia,Silver,Petrol,Manual,76417
BMW,Blue,Hybrid,Manual,60588
Mercedes,White,Hybrid,Manual,51181
Kia,Silver,Hybrid,Automatic,49973
Kia,Silver,Electric,Automatic,48607
Nissan,Yellow,Petrol,Automatic,64914
Kia,White,Electric,Automatic,42127
Toyota,White,Diesel,Manual,32090
Audi,Green,Electric,Manual,27857
Kia,White,Hybrid,Manual,47722
Audi,Gray,Electric,Automatic,78341
Nissan,Yellow,Diesel,Automatic,26092
Ford,Yellow,Diesel,Manual,49337
Toyota,Blue,Petrol,Manual,42026
Ford,White,Petrol,Manual,15599
BMW,Yellow,Electric,Manual,55490
Mercedes,Yellow,Hybrid,Manual,15433
Audi,Green,Petrol,Manual,49695
Hyundai,Silver,Petrol,Automatic,67833
Ford,Blue,Petrol,Manual,30792
BMW,Silver,Electric,Automatic,67096
Suzuki,Blue,Electric,Automatic,45080
Mercedes,White,Diesel,Automatic,59829
Honda,Red,Petrol,Automatic,39855
Suzuki,Yellow,Petrol,Manual,61061
Ford,Blue,Hybrid,Automatic,57264
Kia,Blue,Petrol,Manual,28855
Mercedes,Yellow,Electric,Manual,75565
Honda,Silver,Petrol,Manual,75867
Kia,Red,Diesel,Manual,64299
Suzuki,Blue,Electric,Manual,51959
BMW,Green,Electric,Automatic,64519
Ford,Blue,Electric,Manual,21401
Suzuki,White,Petrol,Automatic,54660
Mercedes,Green,Electric,Manual,56557
Hyundai,Yellow,Hybrid,Manual,38318
Audi,Green,Hybrid,Manual,59544
Mercedes,Green,Petrol,Automatic,67301
BMW,Blue,Petrol,Automatic,25107
Suzuki,Black,Hybrid,Automatic,38638
Honda,Blue,Petrol,Automatic,44146
Kia,Silver,Petrol,Manual,20721
Ford,Green,Hybrid,Automatic,21769
Toyota,Blue,Electric,Manual,54120
Mercedes,Gray,Hybrid,Manual,34126
Suzuki,Green,Petrol,Manual,52483
Audi,Black,Hybrid,Manual,24099
Hyundai,Silver,Electric,Automatic,24563
Honda,Black,Hybrid,Automatic,42597
Hyundai,Yellow,Petrol,Automatic,31495
BMW,Yellow,Diesel,Automatic,22010
Ford,Silver,Petrol,Automatic,36772
Mercedes,Green,Electric,Automatic,36937
Suzuki,Black,Electric,Automatic,54532
BMW,Yellow,Electric,Manual,78214
Suzuki,Gray,Electric,Automatic,78423
Mercedes,White,Electric,Automatic,33369
Suzuki,Gray,Petrol,Manual,53812
Audi,Black,Petrol,Automatic,76798
BMW,Yellow,Electric,Manual,68671
Suzuki,Yellow,Diesel,Automatic,30861
Hyundai,Black,Hybrid,Automatic,19847
Nissan,Yellow,Hybrid,Automatic,50628
Toyota,Gray,Petrol,Manual,65394
BMW,Gray,Diesel,Manual,51911
Suzuki,Gray,Hybrid,Manual,15691
Honda,Silver,Diesel,Manual,44214
Kia,Green,Hybrid,Manual,37607
Toyota,Yellow,Petrol,Automatic,42261
Honda,Blue,Diesel,Automatic,35440
Kia,Yellow,Diesel,Automatic,37826
Nissan,Blue,Hybrid,Automatic,35900
Honda,Silver,Petrol,Manual,16480
Kia,Blue,Diesel,Manual,48816
Ford,Black,Electric,Automatic,77813
Nissan,White,Hybrid,Manual,27215
Suzuki,Green,Petrol,Manual,44463
Mercedes,Green,Hybrid,Manual,61185
BMW,White,Electric,Manual,52837
Honda,Black,Electric,Automatic,27915
Nissan,Blue,Electric,Automatic,49584
Kia,Green,Hybrid,Manual,37801
Kia,Yellow,Diesel,Automatic,75206
Mercedes,Blue,Diesel,Automatic,22724
BMW,Silver,Petrol,Manual,39464
Ford,Green,Hybrid,Manual,52670
Suzuki,Green,Diesel,Automatic,56648
Audi,Black,Diesel,Automatic,33929
Ford,Black,Electric,Automatic,55593
Toyota,Gray,Petrol,Automatic,23947
BMW,Green,Hybrid,Automatic,59872
Nissan,Green,Hybrid,Automatic,25961
Honda,Red,Diesel,Automatic,17142
Hyundai,White,Electric,Manual,66166
Nissan,Yellow,Petrol,Manual,32556
Audi,Gray,Petrol,Automatic,50805
BMW,Green,Petrol,Manual,34510
Toyota,Yellow,Electric,Automatic,71505
Honda,Yellow,Petrol,Manual,28754
Mercedes,Gray,Hybrid,Manual,55380
Ford,White,Diesel,Manual,52360
Kia,Silver,Diesel,Automatic,79159
Hyundai,Silver,Electric,Manual,23885
Suzuki,Red,Electric,Manual,60968
Ford,White,Diesel,Automatic,69295
BMW,Green,Hybrid,Manual,52842
Hyundai,Green,Hybrid,Automatic,19949
Honda,Green,Electric,Automatic,44798
Nissan,Gray,Petrol,Manual,62902
Nissan,Gray,Petrol,Automatic,29275
Suzuki,White,Hybrid,Automatic,36159
Hyundai,Gray,Diesel,Automatic,66662
Kia,Red,Petrol,Manual,56037
Nissan,Red,Petrol,Manual,43920
Nissan,Red,Hybrid,Manual,60127
Ford,Silver,Diesel,Automatic,21117
Kia,Silver,Petrol,Automatic,58549
Ford,Red,Hybrid,Automatic,62578
BMW,Green,Petrol,Manual,15071
BMW,Yellow,Petrol,Manual,53907
BMW,Yellow,Petrol,Manual,60586
Kia,Blue,Hybrid,Manual,46306
Honda,White,Hybrid,Manual,62891
Honda,Blue,Electric,Automatic,72736
Hyundai,Black,Hybrid,Manual,57046
Ford,Blue,Petrol,Manual,43842
Kia,White,Diesel,Automatic,55375
Nissan,White,Petrol,Manual,24175
Honda,Green,Electric,Automatic,35611
Ford,White,Electric,Manual,31263
Audi,Silver,Petrol,Automatic,28464
Audi,White,Hybrid,Automatic,57347
Toyota,White,Hybrid,Automatic,22388
BMW,Yellow,Petrol,Manual,79676
Kia,Gray,Diesel,Automatic,71414
Mercedes,Green,Electric,Manual,64986
Nissan,Blue,Petrol,Manual,15903
Hyundai,White,Petrol,Manual,77172
Suzuki,Silver,Hybrid,Automatic,60993
Suzuki,Blue,Diesel,Automatic,20478
Hyundai,Blue,Diesel,Manual,50152
Kia,Green,Petrol,Automatic,60788
Suzuki,White,Petrol,Manual,20650
Suzuki,Blue,Hybrid,Manual,35269
Ford,Blue,Petrol,Manual,60973
Toyota,Black,Hybrid,Automatic,49275
Audi,Silver,Diesel,Automatic,23318
Hyundai,Blue,Petrol,Automatic,67894
Suzuki,Silver,Petrol,Automatic,61682
Mercedes,Blue,Hybrid,Automatic,48474
Kia,Red,Hybrid,Manual,39096
Ford,Silver,Petrol,Manual,29968
Audi,Red,Petrol,Manual,31026
Toyota,Yellow,Electric,Automatic,75307
Ford,Black,Petrol,Automatic,29713
Kia,White,Hybrid,Automatic,32777
Honda,Gray,Petrol,Manual,26753
BMW,Red,Hybrid,Manual,72474
Nissan,Silver,Electric,Automatic,20661
Audi,Yellow,Petrol,Automatic,28151
Hyundai,Silver,Diesel,Automatic,39135
Mercedes,Yellow,Diesel,Manual,24867
Toyota,Green,Petrol,Manual,50490
Kia,Red,Electric,Manual,64737
Suzuki,Silver,Petrol,Manual,49721
BMW,Green,Hybrid,Manual,78737
Ford,Silver,Petrol,Manual,75376
BMW,Green,Electric,Automatic,78868
Honda,Blue,Diesel,Automatic,19904
Mercedes,Red,Hybrid,Manual,30517
Hyundai,Silver,Electric,Automatic,60922
Kia,Gray,Hybrid,Automatic,30309
Honda,White,Diesel,Manual,25184
Honda,Black,Hybrid,Automatic,35580
Suzuki,Blue,Electric,Manual,44616
Hyundai,Yellow,Electric,Manual,20925
Ford,Silver,Petrol,Manual,69783
Kia,Black,Petrol,Manual,78465
Kia,Green,Petrol,Automatic,32050
Ford,Red,Hybrid,Automatic,51434
Audi,White,Petrol,Automatic,21678
Ford,Blue,Petrol,Manual,69419
BMW,Black,Diesel,Automatic,39395
Honda,Silver,Petrol,Manual,19225
BMW,Yellow,Diesel,Manual,74315
Kia,Blue,Petrol,Automatic,18318
Ford,Green,Hybrid,Automatic,16932
Suzuki,Green,Diesel,Automatic,29071
Ford,Silver,Electric,Automatic,72896
Ford,Red,Diesel,Automatic,47695
Suzuki,Yellow,Petrol,Manual,33335
Suzuki,Black,Hybrid,Manual,57116
Audi,White,Petrol,Automatic,66243
Kia,Yellow,Hybrid,Automatic,74813
Mercedes,Gray,Hybrid,Automatic,26784
