Product ID,SKU ,Category ,Sub Category,Product Name ,Brand,List Price,Standard Cost ,Product Status,supplier name,launch_date 
P00020,SKU00020,Electronics,Laptops  ,pulse powerlap 14 2,Pulse   ,1027.93,586.0,Active,  GAMMA IMPORTS,09/02/2021
p00021,SKU00021,Electronics  ,Laptops,Sierra PowerLap 14 3,SIERRA  ,187.45,112.02,Discontinued,gamma  imports,20/11/2023
P00022,SKU00022,Electronics,Laptops  ,PrimeCo UltraBook X 1, PrimeCo,USD 56.41,45.39,Discontinued   ,Prime Traders," Mar 08, 2024 "
P00023,SKU00023,Electronics,Laptops,vertex ultrabook x 2,Vertex,391.88,266.97,Active,Beta Wholesale,31-Jul-2022
 P00024 ,SKU00024,Electronics ,	Laptops, Pulse UltraBook X 3,pulse,$471.01,287.33,Discontinued   ,None,
P00025,SKU00025,ELECTRONICS  , LaPtOpS ,Nimbus WorkMate 1 ,Nimbus,822.33,363.82 ,  Active,PrImE TrAdErS,28/08/2022
P00026,SKU00026,Electronics,Laptops,	  BlueRiver WorkMate 2 ,Blueriver,1454.53,1072.81,Active,Nova Source," Mar 03, 2021 "
P00027,SKU00027,ELECTRONICS,Laptops,PRIMECO WORKMATE 3,  primeco,1409.55,1123.99 ,Discontinued,PRIME TRADERS,2023/12/29 00:00
P00028,sku00028,electronics,Laptops  ,TrueLine GameCore 1, TrueLine,898.86,728.92, discontinued,  BETA WHOLESALE,2024/07/07 00:00
P00029,sku00029,Electronics,Laptops,pulse gamecore 2   ,  PULSE,137.3,61.51,Active,	PrImE TrAdErS,2021-04-01 00:00:00
p00030,SKU00030,Electronics,Laptops,SiErRa gAmEcOrE 3, Sierra,72.61,37.22,  Discontinued,Nova Source,09.02.2022
P00031,SKU00031,electronics,Audio,  NoRtHsTaR BaSsPoDs 1,Northstar,586.07,284.64,active,  alpha supply , 2021/02/02 00:00 
P00032,SKU00032, Electronics,Audio,ZeNiTh bAsSpOdS 2,	zenith  ,1243.96,657.28,Discontinued   ,Beta  Wholesale    ,2021/11/23 00:00
P00033,SKU00033,Electronics,	 audio,Nimbus BassPods 3, nimbus,425.0,264.07,Seasonal,null,not a date
P00034,SKU00034, ELECTRONICS,AUDIO   ,Everly SoundMax 1,  Everly ,215.68,162.00 ,Seasonal,Gamma Imports, 2024/08/13 00:00 
None,SKU00035,Electronics   ,Audio  ,,TRUELINE,116.45,98.22,  Discontinued   ,Delta Goods  ,2022-10-31
 P00036 ,SKU00036,electronics,AUDIO  ,Trueline Soundmax 3,TrueLine ,$1159.51,521.03,Active,Delta Goods," May 06, 2021 "
P00037,SKU00037, Electronics,Audio,Sierra EchoBuds 1, sierra   ,13.26 ,10.05,Active,ALPHA SUPPLY,2023-03-29 00:00:00
P00038,SKU00038,Electronics,Audio,apex echobuds 2,Apex,?,USD 758.62,Seasonal,	prime traders, 08-Dec-2020 
P00039,SKU00039,ELECTRONICS,AuDiO   ,ORBIT ECHOBUDS 3,Orbit,1158.05,448.19,Discontinued, ,20/12/2020
P00040,SKU00040,    Electronics    ,AUDIO   , Nimbus WaveBeat 1, NIMBUS,540.91,220.66,Active,  Gamma Imports,2020-10-28
p00041,SKU00041,Electronics,AUDIO   ,Vivid WaveBeat 2,Vivid,$1295.34,857.06,Active, prime traders ,"Aug 17, 2024"
P00042,SKU00042,Electronics,AUDIO,  blueriver wavebeat 3   ,	blueriver,499.69,190.77,Discontinued,gamma imports,22/09/2021
p00043,null,Electronics  ,AUDIO,  urbanpeak quiettune 1,UrbanPeak,USD 469.92,$240.88,Seasonal,Gamma Imports,06-Nov-2022
P00044,SKU00044,Electronics,  Audio,vivid quiettune 2,Vivid, 1095.76,732.82,discontinued ,  alpha supply  ,2022-05-27 00:00:00
P00045,SKU00045, ELECTRONICS,Audio,,  vertex,1331.38,780.33,Discontinued,Beta Wholesale,05/04/2020
P00046,SKU00046,  electronics,  accessories,PrimeCo ChargePro 1,None,183.79, 129.87,  ACTIVE,alpha supply,24.12.2021
P00047,SKU00047,	Electronics,AcCeSsOrIeS ,Luma ChargePro 2,luma,$1142.37,720.42,discontinued,ALPHA SUPPLY," Nov 03, 2021 "
P00048,SKU00048,  ELECTRONICS, Accessories,SIERRA CHARGEPRO 3 , Sierra,1157.60,690.97,Seasonal,Gamma Imports  ,02.06.2020
P00049,SKU00049, ELECTRONICS, Accessories,Luma WireHub 1,Luma, 786.49,$443.40,ACTIVE  ,PRIME TRADERS  ,"Feb 07, 2022"
P00050,NA,  Electronics  ,  Accessories   , trueline wirehub 2,TRUELINE,43.0,17.37, Seasonal,Alpha Supply,2021-04-30
PO0051,SKU00051,Electronics,Accessories  ,Vertex WireHub 3 ,Vertex,51.99,34.74,  Seasonal,  alpha supply,2023-02-07 00:00:00
P00052,SKU00052,	Electronics,Accessories   ,Sierra FlexCase 1,Sierra,474.96,287.01,Active,Prime Traders,18.05.2020
NULL,unknown,Electronics,Accessories,  VERTEX FLEXCASE 2 ,Vertex,1361.81,USD 646.38,discontinued,nova source,30/03/2022
P00054,SKU00054,Electronics ,Accessories,BlueRiver FlexCase 3,BlueRiver,618.52,450.14,  Discontinued,GAMMA IMPORTS  ,2024/05/12 00:00
P00055,SKU00055,Electronics,accessories,Zenith  ScreenGuard  1,ZENITH,347.05 ,$134.83,	Seasonal,BETA WHOLESALE,2022-05-21 00:00:00
P00056,SKU00056,electronics,Accessories  ,Sierra ScreenGuard 2,SiErRa,438.18,USD 188.68,Seasonal,Delta Goods,18/12/2023
P00057,SKU00057, Electronics,Accessories ,orbit screenguard 3,ORBIT,"1,394.90",$1051.84, SEASONAL   ,  PRIME TRADERS,"Aug 02, 2024"
P00058,SKU00058, Electronics  ,Accessories,PrImEcO TrAvElDoCk 1 ,Primeco,951.94, 747.97,  Active,nova source,27/09/2022
 P00059 ,SKU00059,Electronics,Accessories,Orbit TravelDock 2 ,Orbit   ,1206.49,534.82,  ACTIVE,NOVA SOURCE,"Jul 26, 2024"
P00060, SKU00060 ,Electronics,  accessories  ,  PuLsE TrAvElDoCk 3,Pulse,1339.38,829.98,Discontinued, nova source,n/a
P00061, SKU00061 ,Home ,Kitchen,BLUERIVER BLENDMASTER 1, BlueRiver  ,1212.12,USD 967.33,Discontinued,, 2021-08-26 00:00:00 
 P00062 ,SKU00062,    Home,Kitchen ,nimbus blendmaster 2   ,Nimbus,480.42,194.58,ACTIVE ,Beta Wholesale,29.10.2021
P00063,SKU00063,HOME, KITCHEN,Zenith BlendMaster 3,Zenith,345.76,194.85,Seasonal, Beta Wholesale,2022-11-16 00:00:00
PO0064,SKU00064,Home ,n/a,ZeNiTh qUiCkKeTtLe 1,Zenith  ,1227.93,958.23,  seasonal,alpha supply ,05.03.2023
P00065,SKU00065,Home,KITCHEN,  PRIMECO QUICKKETTLE 2 ,	 PrimeCo,15.39,9.32,Active   ,Prime Traders,05/16/2024 PST
P00066, SKU00066 , Home,Kitchen,Luma QuickKettle 3, luma,629.03,290.02,discontinued,  Delta Goods,02/05/2020
 P00067 ,SKU00067,Home, Kitchen  ,BlueRiver ChefPan 1, BlueRiver,184.2,95.56,Seasonal,Nova Source,N/A
PO0068,SKU00068,  Home, Kitchen,UrbanPeak ChefPan 2,Urbanpeak,1414.65,723.74,Active, Gamma Imports,2021-06-05 00:00:00
P00069,SKU00069, Home,Kitchen, Everly ChefPan 3,  Everly, 780.59,547.59,Active,Gamma Imports,2022-12-22 00:00:00Z
P00070,SKU00070,HoMe,	 Kitchen   ,Orbit FreshBox 1,ORBIT,548.63,458.59,Seasonal ,Gamma  Imports,30.08.2024
P00071, SKU00071 ,HoMe,kitchen,Northstar FreshBox 2,Northstar, 1443.86,error,  seasonal,delta goods,27/02/2022
P00072,SKU00072, HOME  ,	Kitchen  , Everly FreshBox 3 ,  Everly,$748.39,374.52, seasonal, Delta Goods ,2021-07-25
P00073,sku00073,home,kitchen,TRUELINE TOASTUP 1,Trueline, 430.84,158.74, discontinued  , Alpha Supply,06/22/2022
P00074,SKU00074,	HOME ,KiTcHeN, ZENITH TOASTUP 2,Zenith, 916.30,USD 551.01,Seasonal,Delta Goods,15/07/2021
p00075,SKU00075,Home , Kitchen, BlueRiver ToastUp 3,BLUERIVER,81.96,40.1,DISCONTINUED   ,BETA WHOLESALE ,05.08.2020
P00076,SKU00076,HoMe,Furniture, Orbit OakDesk 1,  Orbit, -1362.86,640.25,Active,Gamma Imports,08-Feb-2022
p00077,SKU00077,HOME,furniture,Northstar OakDesk 2,NORTHSTAR,221.62,131.8, discontinued,	 Prime Traders  ,01/11/2022
P00078,SKU00078,Home,	Furniture,NIMBUS OAKDESK 3 , NIMBUS  ,1478.55,696.44,active,Beta Wholesale ,11/05/2021
P00079,SKU00079,Home,Furniture,Vivid CloudChair 1,	vivid,1009.84,738.0,ACTIVE,Nova Source, 2021-07-25 00:00:00 
P00080,SKU00080,Home,FURNITURE,Vertex Cloudchair 2,Vertex,n/a,257.27,seasonal,Nova Source, 2022-04-04 00:00:00 
P00081, SKU00081 ,Home,furniture,  Vertex CloudChair 3, Vertex, 554.84, 369.61,  Seasonal,Gamma Imports,2024-04-26
P00082,SKU00082,Home  ,  FuRnItUrE,BlueRiver FlexShelf 1,  Blueriver,952.13,588.31,  Seasonal,Prime Traders, 2021/05/06 00:00 
P00083,SKU00083,	  home ,Furniture,NiMbUs fLeXsHeLf 2,Nimbus,139.98 ,107.46,Discontinued ,prime traders,12-Dec-2020
P00084,sku00084,HOME,  furniture,BlueRiver FlexShelf 3, BLUERIVER,484.57,$214.79,seasonal ,Gamma Imports  ,05-May-2020
P00085,SKU00085,HOME ,Furniture ,UrbanPeak ComfySofa 1,Urbanpeak,65.96,42.57 ,  SeAsOnAl,None, 08.01.2024 
P00086,sku00086,Home,Furniture  , Everly ComfySofa 2,everly,$1017.96,364.73,Seasonal,nova source,2023-03-09 00:00:00
P00087,SKU00087,Home,furniture,VIVID COMFYSOFA 3  ,  vivid, 770.58,356.97,AcTiVe,DELTA  GOODS,2024/08/22 00:00
P00088,SKU00088,Home,Furniture,LUMA  NIGHTSTAND  1  ,  ,969.53,423.86,SEASONAL,Gamma Imports   ,22/09/2023
P00089,SKU00089,Home,Furniture,NIMBUS NIGHTSTAND 2,NIMBUS,1037.95,563.99,  Seasonal,Alpha Supply,01/30/2024
P00090,SKU00090,Home,Furniture ,Zenith NightStand 3,zenith,USD 1405.41,-588.53,Seasonal,Alpha  Supply, 2022-03-31 00:00:00 
PO0091,SKU00091,Home,DECOR,Pulse GlowLamp 1, Pulse ,514.89,null,Discontinued ,Prime Traders,2024-05-29
P00092,SKU00092, home,Decor,  Pulse GlowLamp 2,Pulse,1387.42 ,1094.22,seasonal,Beta Wholesale  ,2021-12-26 00:00:00
p00093,sku00093,HOME,  decor,PRIMECO GLOWLAMP 3,?,390.62,265.62 , AcTiVe,Beta Wholesale,2023/07/18 00:00
P00094,SKUO0094,HoMe,Decor,EvErLy wAlLaRt 1 ,Everly,1226.75,$769.91,Discontinued,Delta Goods,2021/01/24 00:00
 P00095 ,sku00095,HOME,decor ,VeRtEx wAlLaRt 2,vertex   ,N/A,375.25,Discontinued,  Delta Goods ,2022-11-08
P00096,SKU00096,Home, Decor,Apex WallArt 3, APEX  ,144.19,USD 115.15,Seasonal,Beta Wholesale,03-Sep-2023Z
P00097,SKU00097,  Home,Decor  ,Zenith SoftRug 1 ,  Zenith,-1351.12,900.59,Seasonal,Gamma Imports, 09/04/2024 
P00098, SKU00098 ,Home,Decor,EvErLy sOfTrUg 2 ,Everly,511.85,268.52,Seasonal,beta  wholesale      ,07/22/2024
P00099,SKU00099,HOME,  Decor,Pulse SoftRug 3  ,pulse,1090.30,870.66,Active,Gamma Imports,2020/04/19 00:00
P00100,sku00100,Home,DECOR,Northstar AromaDiffuser 1,  NORTHSTAR,USD 1331.19,985.00 , ACTIVE,Alpha Supply,2022-08-22
P00101,SKU00101,Home,  Decor,Vivid AromaDiffuser 2,  Vivid  ,964.84,378.28, seasonal,ALPHA SUPPLY  ,2023/01/15 00:00
P00102,sku00102, Home,  DeCoR   ,everly aromadiffuser 3,Everly,USD 246.63,197.13,seasonal,  ALPHA SUPPLY,05/22/2020
P00103,SKU00103,  Home,Decor,NORTHSTAR MIRRORLITE 1,northstar,911.61,323.26,Seasonal ,Delta Goods,28-Feb-2021
P00104,sku00104,  Home,  Decor,	  orbit mirrorlite 2,  ORBIT ,156.7,unknown,Active,  Alpha  Supply,2022/08/10 00:00
P00105,SKU00105,home  ,decor,  Primeco Mirrorlite 3,Primeco   ,12.57,5.41,Active,Alpha Supply   ,16.09.2024
P00106,SKU00106,Fashion,  Men   ,Northstar Urban Tee 1, northstar,825.36,574.41,Seasonal,PRIME TRADERS,05.10.2024
P00107,SKU00107,Fashion ,Men   ,ZENITH URBAN TEE 2   ,Zenith,USD 979.68,452.74,Active,  BETA WHOLESALE,12/07/2020
P00108,SKUO0108,Fashion,Men,  trueline urban tee 3,TrueLine,1069.71,501.29,  Discontinued,DeLtA GoOdS,16/01/2022
P00109,sku00109,Fashion,Men  ,urbanpeak classic shirt 1,UrbanPeak,491.47,?,Active  ,Delta  Goods,24.06.2022
P00110,SKU00110,Fashion,Men,nimbus  classic  shirt  2,Nimbus,976.2,756.18,Discontinued, Gamma Imports,04/27/2022
P00111,SKU00111,  Fashion  ,  MEN  ,ZENITH CLASSIC SHIRT 3, zenith  ,988.13,626.63,discontinued,PrImE TrAdErS,2020/03/08 00:00
P00112,SKU00112,	fashion,Men,  Orbit Denim Flex 1,orbit,145.04,error,ACTIVE,Beta  Wholesale,2020/04/15 00:00
P00113,SKU00113,  Fashion,Men,ORBIT DENIM FLEX 2,Orbit,401.48, 189.50,seasonal  , GAMMA IMPORTS,2020-09-18 00:00:00
P00114, SKU00114 ,Fashion,  Men,NIMBUS DENIM FLEX 3,  NiMbUs,1459.65 ,797.77,Active,  Gamma Imports ,11/21/2024
P00115,sku00115,Fashion,men,Sierra Runner Jacket 1,Sierra,1338.61,890.94,Discontinued,    ALPHA  SUPPLY  ,07/03/2024
P00116, SKU00116 ,FaShIoN,Men,Vivid Runner Jacket 2,	Vivid,1193.24 ,717.52,Active,Prime Traders  ,15/01/2020
P00117,SKU00117,Fashion,MEN  ,PuLsE RuNnEr jAcKeT 3,Pulse,867.47,517.24 , SEASONAL  ,Prime Traders,2023-10-08 UTC
p00118,SKU00118,fashion, Men,PULSE POLO EDGE 1  ,pulse   ,296.89,211.16 ,Active,Nova Source ,2023/12/28 00:00
 P00119 ,SKU00119,Fashion, men,Vertex Polo Edge 2, VERTEX,424.75,USD 153.83,  SEASONAL,beta wholesale  ,24.12.2021
P00120,sku00120,Fashion,  men,UrbanPeak Polo Edge 3,  URBANPEAK,969.98,425.39,seasonal,gamma imports,19.04.2021
p00121,SKU00121,Fashion ,Women,Vertex SilkTop 1,  vertex,"1,410.99",1166.84,DISCONTINUED    ,delta goods   ,2024-03-08 00:00:00
 P00122 ,sku00122,Fashion,Women,  NORTHSTAR SILKTOP 2, NORTHSTAR,?,734.51,Seasonal,Beta Wholesale, 2024/05/11 00:00 
P00123,SKU00123,fashion,Women,BLUERIVER SILKTOP 3   ,BlueRiver   ,28.11,$22.89,  AcTiVe,Beta Wholesale ,"May 07, 2023"
p00124,SKU00124, Fashion,WOMEN ,zenith daily dress 1,Zenith ,645.14, 537.61,Seasonal ,Delta Goods,NA
P00125,sku00125,  Fashion,  women,Pulse  Daily  Dress  2,PULSE, 1445.61,1122.52, seasonal,,2022-06-18
P00126,SKU00126,Fashion,Women   ,  sierra daily dress 3,Sierra,445.2,241.54,active   ,,2022-10-01 00:00:00
P00127,SKU00127,FaShIoN   ,Women,    Sierra  Comfy  Jeans  1,Sierra,1277.45,null,Discontinued  ,prime traders,21.02.2022
P00128,sku00128,Fashion,Women,BlueRiver Comfy Jeans 2   ,BlueRiver,258.39,162.37,  Seasonal,Nova Source,24/07/2020
P00129,SKU00129,	Fashion,Women  , Luma Comfy Jeans 3,LUMA,1404.55, 980.40,  discontinued,Gamma Imports , 2024/02/02 00:00 
P00130,SKU00130,  FASHION,WOMEN,  urbanpeak active leggings 1,URBANPEAK ,857.24,341.69,Seasonal,Alpha Supply,2021/02/27 00:00
p00131,SKU00131,	FaShIoN,WOMEN,urbanpeak active leggings 2,UrbanPeak,924.44,USD 781.18,AcTiVe   ,  Nova Source,2023-02-11
,sku00132,FASHION, Women, ORBIT ACTIVE LEGGINGS 3,Orbit  ,214.43,None,Active,Nova Source   ,None
P00133, SKU00133 ,Fashion,WOMEN,NA,nimbus,1316.67,USD 948.51, Discontinued  ,    Alpha  Supply, 16-Mar-2021 
P00134,SKU00134,Fashion,Women, APEX BLISS SCARF 2,Apex ,1047.04,734.23 , Seasonal,nova source,2022-04-22 00:00:00
P00135,sku00135,fashion,WOMEN,Northstar Bliss Scarf 3  ,  northstar,USD 542.44,$269.48,active,Nova Source,2020-10-16 00:00:00
P00136,sku00136,  Fashion,Shoes,TrueLine Stride One 1,TrueLine  ,"1,214.99",917.39,active,DELTA GOODS,2024-04-12
P00137,SKU00137,Fashion,Shoes,n/a,  apex,1301.27,"1,049.63",ACTIVE   , Prime Traders, 2024-06-25 
P00138,sku00138,fashion ,Shoes,SIERRA STRIDE ONE 3,Sierra,769.46,-462.26,    SEASONAL,beta wholesale,04-Mar-2020 PST
P00139,SKU00139, Fashion,Shoes,Apex CityWalk 1,Apex,1198.45,808.93,Active ,NOVA SOURCE,27-Oct-2021
P00140,SKU00140,  Fashion,Shoes,Nimbus CityWalk 2  ,nimbus,1054.44 ,788.61,  active  ,Alpha Supply,28/06/2023
p00141, SKU00141 ,fashion,Shoes  ,VIVID CITYWALK 3 ,Vivid  ,1335.56,693.15,DISCONTINUED,Beta Wholesale,2023-01-04
P00142,sku00142,fashion ,Shoes, Nimbus TrailX 1,	 Nimbus,566.5,USD 224.90,Seasonal,Alpha Supply,13-Aug-2023
P00143,sku00143,Fashion,Shoes,Orbit TrailX 2,Orbit,-869.53,  ,discontinued  ,BETA WHOLESALE,29-Dec-2023
 P00144 ,SKU00144,Fashion    ,shoes,Luma TrailX 3, luma,701.07,435.59,  Discontinued,BETA WHOLESALE,2024/01/21 00:00
p00145,sku00145,Fashion  ,Shoes,Orbit AirMove 1,Orbit,$433.38,279.71,Seasonal,Alpha Supply,06/04/2024
P00146, SKU00146 ,FaShIoN,  Shoes,Vertex AirMove 2  ,VeRtEx ,50.6,18.65, ,	Gamma Imports,14-Oct-2021
p00147,SKU00147,fashion,SHOES,Zenith  AirMove  3,Zenith  ,1234.79,654.56,seasonal,  Beta Wholesale,07/10/2022
P00148,SKU00148,Fashion,	Shoes,TrueLine Classic Loafer 1,	TRUELINE,194.96 ,119.14,Discontinued,BETA WHOLESALE,2022-01-20 00:00:00
P00149,SKU00149,  Fashion,Shoes, Orbit Classic Loafer 2,  orbit,"1,156.14",529.41,  DISCONTINUED   ,    Nova  Source,23.04.2023
p00150,SKU00150,Fashion,SHOES,PULSE CLASSIC LOAFER 3, PULSE,936.22,367.63, Discontinued,beta wholesale,07/21/2022
p00151,SKU00151,SPORTS, Fitness,Orbit YogaMat 1,Orbit,82.26 ,$50.65,Active,  Nova Source   ,2020-11-28
 P00152 ,SKU00152,	Sports,Fitness,nimbus yogamat 2,nimbus,USD 813.25,543.83,Seasonal,Alpha Supply, 2020-04-17 00:00:00 
P00153,SKU00153,Sports,Fitness,BlueRiver  YogaMat  3  ,BLUERIVER,USD 1090.51,913.77,Discontinued,Gamma Imports,21/10/2023
P00154,SKU00154,sports,FITNESS ,Blueriver Powerbands 1, BLUERIVER,776.87,397.35 ,  Discontinued,Gamma Imports,2022-05-30 00:00:00
p00155,SKU00155,sports,fitness   ,UrbanPeak PowerBands 2,	  UrbanPeak,1193.8,579.49,  SEASONAL,Prime Traders,12-Aug-2020
P00156,sku00156,  sports,Fitness,	Apex PowerBands 3,ApEx,661.26,257.38,Seasonal,AlPhA SuPpLy,2020/10/20 00:00
P00157,SKU00157,Sports, Fitness,Luma SmartBottle 1,luma   ,zero,$35.66,SeAsOnAl,Beta  Wholesale,30.03.2022
P00158,SKU00158,    Sports,fitness, NIMBUS SMARTBOTTLE 2,Nimbus,USD 1254.79,875.83,  Active  ,Prime Traders,2022/09/05 00:00
 P00159 ,SKU00159,sports,  fitness ,BLUERIVER SMARTBOTTLE 3,BlueRiver,USD 616.38,NULL,seasonal,Prime Traders,"Feb 24, 2021"
P00160,SKU00160,Sports   , Fitness,PRIMECO COREBALL 1,  PrimeCo,$238.87,113.49 ,Active,Nova Source,04/02/2023
P00161,SKU00161,Sports,  FiTnEsS   ,Orbit CoreBall 2,  Orbit,826.09,$584.29, Active,prime traders   , 30-Mar-2022 
P00162,sku00162,Sports,Fitness,Orbit CoreBall 3  ,Orbit,992.0,486.05,SEASONAL  ,null,2022-12-20
P00163,SKU00163,Sports    ,Fitness,urbanpeak jumppro 1,UrBaNpEaK ,1432.52,1029.91,ACTIVE,prime traders,2020-07-25
P00164,SKU00164,SpOrTs,Fitness,BlueRiver JumpPro 2,BlueRiver,833.76,$546.83,Active      ,Alpha Supply,2021/12/31 00:00
p00165,sku00165,Sports,  fitness,Everly JumpPro 3,Everly,632.3,299.63,Discontinued,  Alpha Supply,2022-07-14 00:00:00
p00166,SKU00166,Sports,OuTdOoR, Orbit CampLite 1,Orbit   ,$537.18,391.56,ACTIVE,PrImE TrAdErS,"May 09, 2022"
P00167,SKU00167,Sports  ,Outdoor,urbanpeak camplite 2,urbanpeak, 26.52,USD 10.82,Seasonal,Gamma Imports,05/28/2024
P00168,SKU00168,  sports ,Outdoor,Nimbus CampLite 3,NIMBUS,$73.77,27.32,Active,alpha supply,27/02/2022
PO0169,SKU00169,Sports,outdoor,Luma TrailBag 1   , Luma,1283.91,901.09,seasonal,Delta Goods  ,"Jul 28, 2023"
P00170, SKU00170 ,sports    ,Outdoor ,Vivid TrailBag 2, Vivid,713.89,USD 284.78,Active, GaMmA ImPoRtS,"Oct 03, 2024"
p00171,SKU00171,Sports,Outdoor,Nimbus TrailBag 3  ,Nimbus,739.97,434.17,Active,alpha supply ,2024-05-03
P00172,sku00172,Sports,Outdoor,  Vertex HikePole 1,	Vertex,263.94,USD 149.63,Discontinued,Delta Goods,"Jul 24, 2022"
P00173,SKU00173,Sports    ,Outdoor,urbanpeak hikepole 2,URBANPEAK ,600.76,395.26,discontinued   ,Prime Traders   ,12/05/2023
P00174,SKU00174,Sports,Outdoor  ,ORBIT HIKEPOLE 3 ,ORBIT,954.47,unknown,Discontinued,Gamma Imports,27.06.2022
 P00175 ,sku00175,Sports ,Outdoor,ZENITH  SUNTENT  1,ZENITH  ,USD 565.05,374.59,ACTIVE,prime traders,2020/11/15 00:00
P00176,SKU00176,Sports, Outdoor,VERTEX SUNTENT 2,Vertex,USD 757.19,589.28, Discontinued,BETA WHOLESALE,01/30/2023
P00177,SKU00177,  sports,Outdoor   ,APEX SUNTENT 3,apex,989.75,n/a,Discontinued,Alpha Supply,2023-09-08
P00178,SKU00178,sports, outdoor,Everly Hydropack 1,  EVERLY,110.5,74.17,Discontinued,  Alpha Supply,2024/09/26 00:00
p00179,SKUO0179,Sports,Outdoor,n/a,Everly   ,44.63,USD 28.69,  DISCONTINUED,Prime  Traders,02/15/2023
P00180,SKU00180,  Sports,	Outdoor  ,sierra hydropack 3,Sierra,1410.64,899.62,SeAsOnAl, Gamma Imports,2023/09/28 00:00
P00181,SKU00181,SPORTS,Cycling,Pulse RideHelmet 1, Pulse,585.31,393.12,Seasonal,gamma imports,03/21/2021
P00182,SKU00182,  Sports   ,cycling,Luma Ridehelmet 2,Luma,690.09,429.79,seasonal,Beta Wholesale,2023-07-03 00:00:00
p00183,SKU00183,  Sports,	Cycling  ,UrbanPeak RideHelmet 3, URBANPEAK,1412.49, 767.05,Active,nova source,14.12.2023
P00184,SKU00184,Sports,Cycling,orbit gripglove 1,  ORBIT,1441.98,1157.44, DISCONTINUED ,prime traders,N/A
P00185,SKU00185, Sports,Cycling,Orbit GripGlove 2,Orbit ,$297.71,114.52,Active,  gamma imports   ,2020-02-11
P00186,None,Sports, Cycling, TrueLine GripGlove 3,TrueLine   , 155.66,55.9,Seasonal,Prime Traders  ,03/08/2022
P00187, SKU00187 ,sports   ,Cycling,Northstar BikeLight 1  , NoRtHsTaR,  , 101.09,  Active,Prime Traders,15.02.2023
P00188,SKU00188,Sports,Cycling,Sierra BikeLight 2,Sierra,$111.43,56.77,	DISCONTINUED,Prime Traders ,"Nov 01, 2020"
P00189,sku00189,Sports,cycling,apex bikelight 3 ,ApEx   ,1268.09,458.59, Active,alpha supply,2022-03-23 00:00:00
P00190,SKU00190,Sports,Cycling,TrueLine RoadKit 1,TRUELINE    ,$-1222.63,600.22,Discontinued,Delta Goods,06/08/2022
