Month ,Region,Category,Sales Target,target margin %
  2022-02   ,North ,Home,98349.16,0.311
  2022-02, NORTH   ,fashion   , 142818.76,10%
2022-02  ,North, SPORTS ,132547.31,0.081
2022-02   ,NORTH,Beauty,86305.21,0.131
 2022-02,North  ,  Grocery,161345.35,0.085
2022-02,North,Office,200120.35 ,0.316
2022-02,NORTH,Pet,135383.18,22.6%
2022-02,SOUTH, Electronics,174869.52,0.344
2022-02,South,Home,124222.13,0.211
 2022-02,south,  Fashion,194757.49,0.142
 2022-02,  South   ,sports  ,77193.63, 0.18 
2022-02,South   ,  Beauty   ,$181166.59,0.143
2022-02, south,GROCERY,"69,514.20",0.305
  2022-02,south,    office    ,219320.29, 0.339 
 2022-02,SOUTH  ,Pet,142705.9,0.118
2022-02 ,East  ,Electronics,error,0.34
    2022-02,EAST, Home ,"72,053.31",0.247
  2022-02,East,FaShIoN,79057.81,0.289
 2022-02  ,east,	Sports,219161.19 ,0.317
2022-02  ,  East  ,Beauty,164969.74 ,10%
2022-02,East,Grocery,229191.67,30.7%
2022-02,EaSt,OfFiCe, 67694.10, 0.331 
2022-02,East ,Pet,"183,395.88",0.291
2022-02,  West,Electronics,230915.7,0.19
2022-02,WEST ,HoMe,205673.83, 0.224 
  2022-02,west,fashion,83125.78, 0.205 
2022-02 ,West  ,  Sports, 49763.27,0.238
2022-02,WEST   ,Beauty,"-127,565.99",15%
2022-02,West,GROCERY,,0.16
2022-02,West,Office,95431.88 ,0.095
2022-02,West,Pet ,32602.61,0.228
	2022-02, Central,  Electronics,145353.21 ,0.192
2022-02,CENTRAL  ,home  ,USD 156462.75,0.247
2022-02 ,CENTRAL,Fashion,242089.41,24.7%
2022-02,central,  SPORTS,172946.65,0.165
 2022-02   ,central   ,beauty,50719.69,0.178
2022-02,CENTRAL,GROCERY,240379.82,0.261
2022-02,Central,Office,83251.92,0.313
2022-02,Central,Pet,216260.95, 0.294 
	  2022-02   ,international,Electronics, ,0.332
 2022-02,international,home ,"91,708.00",0.081
2022-02 , International,fashion,"209,776.14",13%
2022-02 ,International,Sports  ,"211,814.12",0.227
 2022-02  ,International ,Beauty,119183.20 ,0.293
2022-02,international ,  Grocery,USD 185927.48,0.132
2022-02,International, OFFICE,$57998.52,0.263
2022-02,?,Pet,"196,324.13",0.249
2022-03,north,Electronics,126734.01 ,16%
    2022-03,North   , Home   ,"-49,289.27",24.7%
2022-03,	north,Fashion ,42758.99, 0.284 
2022-03,NORTH ,Sports,68653.01,0.125
2022-03, NORTH,Beauty ,$128808.87, 0.169 
2022-03,North,Grocery,140937.33,23%
2022-03,North ,office  ,70653.13,9%
2022-03,NORTH,  pet,  ,0.164
2022-03,south,ELECTRONICS,162455.01,0.214
2022-03,NULL,Home   ,USD 64820.08,0.343
2022-03,South   ,FASHION, 141409.27,0.094
2022-03      ,south, Sports   ,?,20.3%
 2022-03,, Beauty,56192.93 ,26%
  2022-03 ,South   , GROCERY,66238.39,0.33
2022-03 ,South  ,Office,$34786.34,0.144
2022-03,South    ,	PET ,USD 183961.64, 0.206 
2022-03  ,East,Electronics,222505.66,0.284
2022-03,east,Home ,131442.11,0.105
2022-03,  East,fashion,104911.28,0.252
2022-03,east   ,  Sports,131382.39,0.309
2022-03,East, Beauty,211053.65,0.3
2022-03, EAST ,  Grocery,128462.91,0.165
2022-03, East  ,	Office,147237.27,8%
  2022-03,EaSt,pet,112674.63,0.244
2022-03,west,electronics,60233.84,0.302
2022-03,West ,None,$244151.33, 0.344 
 2022-03,West,fashion   ,$224015.57, 0.315 
2022-03,WEST,Sports,-139605.92,0.202
2022-03   ,    west,beauty, 152148.99,0.237
    2022-03,WeSt, GROCERY,135273.48 ,0.16
2022-03   , West,  Office,"247,295.26",0.08
2022-03,West,Pet  ,30016.31,--
2022-03,Central, ElEcTrOnIcS,156976.49,0.153
  2022-03 ,central, Home,"237,504.46",0.175
2022-03,central, fashion   ,$197137.92,0.241
2022-03,Central,Sports,77508.17,0.33
	 2022-03   ,CeNtRaL,	Beauty,34850.94,26%
2022-03,central   ,Grocery,136837.06,0.335
2022-03,Central  ,  OFFICE,183342.05, 0.212 
  2022-03,  Central,Pet,"166,696.84",0.222
2022-03,  InTeRnAtIoNaL, electronics   ,239703.9,0.258
2022-03,International  ,Home,$178192.00,missing
 2022-03,International,FASHION ,241571.24,24.5%
2022-03,INTERNATIONAL,Sports,223008.85,0.243
2022-03  ,International ,BeAuTy,$173387.56,0.104
 2022-03,international ,Grocery,241573.05,0.082
 2022-03,International,Office ,155632.92,0.23
  2022-03,International,  PeT, 63111.09, 0.096 
 2022-04   ,north   ,electronics      ,220420.42,0.189
 2022-04,North, Home,74390.64,0.245
2022-04 ,  north,	Fashion ,230196.78,N/A
2022-04,NORTH  , SpOrTs,$110793.37,0.208
2022-04,North,beauty      ,178703.78,0.134
  2022-04,NORTH, Grocery,$127542.91,0.268
2022-04,North,  office,32370.32, 0.093 
2022-04 ,North   ,PET,44864.32,0.332
2022-04, South,Electronics,147631.88, 0.235 
2022-04,South,Home,116389.58,0.27
2022-04,South,Fashion,137830.34,0.337
2022-04,South, Sports, ,0.321
2022-04,South ,Beauty,117125.78,18%
2022-04,south, Grocery ,51312.83 ,0.182
2022-04,south, Office,USD 43766.80,0.297
 2022-04,  SOUTH,Pet,61795.04,0.204
2022-04,	EAST   ,Electronics,207693.79,0.294
2022-04,East,,USD 239943.82,0.237
2022-04  ,East,FaShIoN  ,32370.64,0.279
 2022-04 ,  East,Sports ,118994.64,31%
2022-04,East, BEAUTY,146167.4,0.317
2022-04,East,Grocery,184636.72,22.4%
  2022-04 ,East,Office, 95600.95,0.101
2022-04   ,East  ,Pet,"183,533.08",0.277
2022-04,missing,Electronics ,121299.43,34.3%
2022-04,West   ,Home,242213.62, 0.287 
  2022-04,  West,FASHION,68989.57,0.272
2022-04,west,Sports  ,"159,054.97",0.155
2022-04,WEST , beauty,188995.05,0.319
2022-04, west,grocery,125270.72 ,17%
2022-04  ,West,Office,64209.55, 0.267 
  2022-04,  West  ,  Pet,59272.49, 0.337 
	2022-04,CENTRAL,Electronics,96549.24,32.0%
2022-04,Central,  HOME  ,USD 117834.27,22%
  2022-04,Central,FaShIoN,192105.95,0.104
2022-04   ,Central,Sports,USD 91929.10,0.342
2022-04,Central, Beauty,n/a,0.291
 2022-04,central,GROCERY,115098.5,16.8%
2022-04, Central,office   ,"127,220.92",0.106
2022-04, CENTRAL   ,Pet ,67830.01,0.218
,INTERNATIONAL,  Electronics,59729.47, 0.307 
2022-04,International,Home,142381.97,16%
2022-04,international, Fashion,USD 242177.18,0.274
  2022-04   ,	International,Sports,"227,471.30",0.32
2022-04,International,BeAuTy,219111.55,13.1%
2022-04,  INTERNATIONAL   ,Grocery,206542.58,21%
2022-04,international,Office,185968.39 ,0.252
2022-04  ,International,  Pet,"199,831.22",0.278
 2022-05,NORTH, Electronics,78339.17, 0.311 
2022-05, North,  home,173135.13,null
2022-05,North, Fashion,142804.96,0.258
2022-05,North,Sports ,-,0.211
 2022-05,NORTH,	BEAUTY,173779.74,0.234
2022-05,North ,GROCERY   ,201697.14, 0.194 
2022-05,North,office,93454.12,13%
 2022-05,north,	PET   ,175975.1,0.199
2022-05,  South,  Electronics,"117,398.79",0.287
2022-05,South,Home   , 166311.96,0.239
2022-05  ,  SOUTH, fashion,84138.36,0.309
2022-05,South, Sports,168133.06,0.272
2022-05,south, Beauty   ,USD 107931.71,0.112
2022-05,South,grocery,"50,418.04", 0.158 
 2022-05  , south,  Office,USD 194354.12,0.277
2022-05, South,Pet,244094.16 ,0.337
2022-05,  EaSt,Electronics   , ,0.173
2022-05,East,home   ,113041.89,15.9%
2022-05,East  ,FASHION  ,134823.5,0.269
2022-05    ,East,Sports,"229,610.92",0.171
2022-05,East  ,beauty,"132,312.10",0.241
2022-05,  East ,Grocery,$57200.46,0.288
2022-05,EAST , Office,$249274.69,0.151
2022-05,EAST,Pet,133397.0,0.112
 2022-05,  West,Electronics,142489.31 ,0.207
 2022-05,West  ,HoMe ,$174278.02,0.123
2022-05,west, FASHION,36870.3,0.34
  2022-05,  WEST,Sports,229605.51,0.155
2022-05,  West,BEAUTY,109329.79 ,0.163
2022-05,West, GROCERY   ,189919.28,0.207
2022-05,WEST,Office  ,168930.04,0.329
2022-05,West, pet ,USD 237227.58,0.275
2022-05,Central,ELECTRONICS,USD 69135.35,0.333
 2022-05,Central,Home,99447.37,0.287
2022-05,  Central, Fashion  ,"68,320.53", 0.271 
 2022-05  , Central,Sports,160601.13,0.23
2022-05,Central,  beauty,164867.32,0.267
2022-05   ,Central,Grocery,-212054.75,20%
 2022-05, Central,Office,228499.65,0.265
2022-05,Central ,Pet  ,42113.28,0.144
2022-05, International,ELECTRONICS,94007.96,0.085
2022-05,International,  home,44801.23 ,0.279
2022-05   ,  International,Fashion  ,187549.84,12%
2022-05, International,	Sports,45929.28, 0.339 
 2022-05,International  ,Beauty,$175265.94,0.193
2022-05  ,International,Grocery,59785.22,0.3
2022-05,international,Office,$83817.10,34.5%
2022-05,International ,    Pet,231084.24 ,0.334
2022-06   , North ,Electronics  , ,0.293
  2022-06,North   ,Home,244775.15, 0.307 
 2022-06,North ,fashion,248052.73,0.176
 2022-06,North,sports,177098.5,15%
2022-06,  North, Beauty,"176,674.47",0.101
  2022-06,North,	GrOcErY,142650.62,NA
  2022-06,North ,office,32155.78, 0.22 
2022-06, North,PET,62841.05,9.8%
2022-06, south,Electronics   ,USD 64683.40,0.155
2022-06,SOUTH,HOME,170128.74,0.318
2022-06,South,FASHION,158853.43,
2022-06,n/a,Sports,85041.17,0.167
  2022-06,South,Beauty,49671.33,0.224
2022-06,SOUTH  ,Grocery  ,"164,610.71",0.306
2022-06,south  ,  OFFICE,229423.86,19.6%
 2022-06, SOUTH,PeT,107929.02,0.334
2022-06,  East,	Electronics,55492.93,10.3%
  2022-06, EAST,Home   ,154208.04,11.8%
2022-06  ,East,FASHION   ,$84550.43,0.258
  2022-06, East,sports,227782.96,28.4%
2022-06,East,BEAUTY,118411.6,0.106
2022-06,East,grocery,122930.47,0.252
2022-06,EAST   ,	  Office,null,0.247
2022-06   , East, Pet ,153659.03 ,18%
2022-06, West,  Electronics,35841.58,0.128
2022-06 ,West,    Home,152766.8,0.275
2022-06,west,Fashion , ,0.154
  2022-06,West, Sports,241672.06,0.18
2022-06  , West, Beauty  , 32207.65,14.9%
  2022-06,west,Grocery ,136522.42,0.09
2022-06,West,Office   ,117712.33,0.208
2022-06,West,PET,149865.98,0.308
2022-06,Central,Electronics,129803.27,0.254
	2022-06,Central,Home,"151,903.12",12.0%
2022-06,CENTRAL,Fashion,USD 193155.70,22%
2022-06, Central,Sports ,201673.4,0.198
2022-06,Central  ,BeAuTy, 216456.96,0.241
 2022-06,CENTRAL,GROCERY,220708.36,0.161
2022-06,CENTRAL   ,Office,70640.81,33%
2022-06,central,Pet  ,USD 127796.03, 0.168 
2022-06,  International,electronics  ,"62,109.05",0.214
 2022-06   ,International ,  Home,-,25%
2022-06,INTERNATIONAL,Fashion,$140139.90,0.273
2022-06 ,InTeRnAtIoNaL,sports,$236491.41,0.131
 2022-06,International, BEAUTY ,164372.79,35%
2022-06,	International,Grocery,131091.1,19.9%
2022-06  ,international,Office   ,n/a,0.279
2022-06,international,PET,102937.47,0.116
2022-07,  North,Electronics ,200901.07,29%
2022-07,North, home,136384.66, 0.276 
2022-07 ,NORTH,Fashion   , 212498.63,0.151
2022-07,  north, Sports,185514.8,0.083
N/A, North,BEAUTY   ,114818.51,0.262
2022-07,North,Grocery ,$50017.38,0.22
2022-07 ,  North,office,USD 141872.52, 0.226 
2022-07  ,north,Pet   ,138377.13,0.294
2022-07,South, ELECTRONICS, 94548.34,22.4%
2022-07,  South,Home,169797.71,0.103
2022-07,SOUTH, Fashion, 90278.28,0.082
2022-07,  South,Sports, 163558.51,0.308
2022-07, south,BEAUTY,74692.75,0.128
2022-07  ,South,Grocery,147769.54,0.15
2022-07   ,South,OfFiCe,178557.97,30.4%
2022-07,NULL,Pet, 64782.84,0.301
2022-07  ,East   ,  ELECTRONICS,108846.65,0.17
 2022-07   ,East  ,,150695.67,20.9%
 2022-07   ,East , Fashion,$82957.42,29%
  2022-07, EaSt,Sports,103622.08,0.227
  2022-07,East,	 Beauty, 207161.26,0.142
 2022-07,east,GROCERY      ,180997.69,0.311
2022-07   ,East,Office   ,178686.37 ,0.27
 2022-07,east ,PeT,USD 133837.40,null
 2022-07 ,West ,Electronics   ,"76,865.42",0.336
2022-07,WeSt,Home,70346.54,16.7%
2022-07,    WEST,  Fashion   ,"50,813.11",0.229
2022-07  ,west   ,Sports,USD 198797.44,0.321
2022-07 ,West  ,  BEAUTY, -34200.20,0.107
2022-07,West ,GrOcErY,247481.91,0.135
  2022-07,WEST,Office  ,164924.95,0.112
2022-07,West   ,Pet  ,231359.77,0.142
2022-07,    CENTRAL,Electronics,191340.11,0.258
2022-07,Central,  home,191927.13,0.248
2022-07,Central  ,  FASHION,194812.06,0.311
2022-07  ,Central,Sports    ,143007.6, 0.244 
2022-07,Central,beauty,114846.24,0.292
2022-07 ,CeNtRaL   ,GROCERY,152644.77,
 2022-07,Central , office   ,"54,424.82",0.236
	 2022-07,central,  PET,"134,699.60",0.22
2022-07, International, Electronics,USD 141743.79,0.329
2022-07,international,HOME,221916.65,0.255
2022-07,International,Fashion,80341.65, 0.211 
2022-07,International, SPORTS ,104160.40,8%
	2022-07,International   ,beauty,73980.97,25%
2022-07,	  International,Grocery,246706.27 ,14.5%
2022-07,International, ,139436.86,24%
2022-07,InTeRnAtIoNaL,Pet,125585.82, 0.27 
2022-08,NORTH,electronics, 119062.51,22.1%
2022-08,  North,Home      ,238015.74,0.24
2022-08      ,north ,Fashion,34283.99,0.237
2022-08  ,NULL,Sports,190387.9,12%
  2022-08  ,North,BEAUTY ,"208,584.33",0.09
 2022-08,NORTH,grocery,68125.36 ,0.148
2022-08, north,Office,$96991.19,9%
2022-08,North   ,pet,216762.43,0.343
  2022-08,South ,ElEcTrOnIcS,175315.04 ,26.8%
2022-08,south  ,home ,-202119.03 ,0.31
2022-08   ,South,null,58027.45,0.295
2022-08 ,South ,sports,92382.67,0.306
2022-08,South, BEAUTY,"206,418.49",0.321
2022-08,SOUTH,  GROCERY,$93278.37,0.305
  2022-08,  South   ,Office,$188015.80,0.193
2022-08,  SOUTH,pet,USD 164612.09,13%
,unknown,Electronics  ,n/a,21.3%
2022-08,East ,Home,131695.04,15.7%
 2022-08  ,East,  Fashion ,206167.47,0.336
  2022-08,East,Sports,169334.32 ,
2022-08,East,n/a, 132810.19,0.265
2022-08,EAST,  grocery,110095.0,19%
    2022-08    ,EAST,OFFICE,84010.33,8.5%
null,East   ,Pet  , 94712.80, 0.082 
2022-08,West,Electronics   ,73273.87,0.296
2022-08,  WEST , Home,225468.79, 0.158 
2022-08   , West   ,FASHION,242827.06,0.296
2022-08,West,Sports,46459.98,0.274
2022-08  ,west,Beauty,59516.10 , 0.274 
2022-08  ,West,Grocery,108572.81,0.156
  2022-08,West,OFFICE,74682.16,0.14
 2022-08,  West,Pet,216901.00 ,0.168
2022-08,CeNtRaL   , Electronics ,163028.12,11%
2022-08  , Central,Home,189963.72,None
2022-08,central,Fashion,75597.80 ,26.5%
 2022-08,Central,    Sports,183693.9,15%
2022-08, Central   ,Beauty,199118.43, 0.178 
2022-08, central,Grocery,215009.88,0.195
2022-08   ,  Central, Office,215846.25,0.322
2022-08,central,pet,196974.29,0.304
2022-08,International,ELECTRONICS,104273.6,0.108
2022-08  ,International,HOME,"226,111.88",22%
2022-08 ,International,  Fashion,141702.21 , 0.13 
2022-08 , International ,  Sports   , 215986.70,N/A
 2022-08   ,  INTERNATIONAL  ,Beauty ,212073.85,0.286
2022-08,International,GROCERY,82932.82,22.2%
2022-08,International, Office ,103873.27,21.1%
2022-08,International, PET,31817.2, 0.268 
2022-09,North,Electronics,84256.30 ,0.151
2022-09,North, Home,"68,155.63",28.8%
2022-09,North ,  Fashion,USD 136958.35, 0.198 
2022-09,north  ,SpOrTs,USD 249452.76,0.244
2022-09   ,North,Beauty,173801.97,0.113
2022-09,  North  ,Grocery,$60579.08,0.16
2022-09   ,north,Office,USD 157731.21,0.086
2022-09,  North,pet ,USD 67595.47,25%
 2022-09,SOUTH   ,ELECTRONICS ,34512.14,0.314
2022-09,SOUTH  ,Home,98962.65,26.3%
2022-09, South   ,Fashion,n/a, 0.268 
2022-09   ,South,Sports,100602.49,32.6%
N/A,South,Beauty,230134.3,25%
2022-09, SoUtH  ,Grocery,128189.3,0.179
	2022-09,  South,office,zero,22.0%
 2022-09,South,  PET,137272.63,0.196
2022-09, East,  Electronics,94045.1,30%
2022-09,East,Home, 227268.85,9.7%
 2022-09, east,fashion  ,"98,343.17",0.212
2022-09,  east  ,Sports,76781.33,20.5%
2022-09,  East,  Beauty ,$36533.48,0.263
2022-09,EaSt ,Grocery  ,62324.07,0.276
2022-09,  East,Office ,30589.72,0.157
2022-09,East,pet,167491.86,0.082
2022-09   ,West,Electronics,144268.12 ,0.141
2022-09,West,HOME,41882.93 ,0.313
  2022-09, West,fashion,102851.52,17.2%
2022-09  ,west,Sports ,$94478.40,0.126
2022-09, WEST,Beauty,168612.02,0.262
  2022-09,West,Grocery,119151.1, 0.339 
2022-09, West,  Office,159276.6,0.21
2022-09,West,PET    , 122492.82,0.297
2022-09,Central   ,Electronics,149398.34,0.241
 2022-09,  Central,Home,102536.47,0.234
2022-09,Central,Fashion,147811.87,0.183
  2022-09,Central,Sports,121620.42, 0.338 
2022-09,Central,Beauty,236924.43, 0.202 
2022-09  ,CENTRAL , Grocery,54553.01,10.6%
2022-09,Central,Office ,$219415.19,0.308
2022-09,central,Pet,52829.54,0.213
2022-09,  International,Electronics,54855.24,0.229
2022-09   ,International,Home, 155079.66,0.169
2022-09,  International,FASHION,62622.97,0.183
2022-09,INTERNATIONAL,Sports ,226236.49 ,10.3%
  2022-09  ,International,,USD 202138.74, 0.32 
2022-09   ,International   ,Grocery,123544.82,0.311
  2022-09,International,  ,149986.18,0.124
2022-09,International,Pet ,32075.68,0.2
2022-10,north,electronics,$101522.92,0.255
2022-10,North,  Home,222747.59 ,23%
2022-10, north   , Fashion,38113.59 ,0.092
2022-10 ,North,SPORTS,$190205.82,0.089
    2022-10,  NoRtH  ,Beauty    ,126291.55,0.333
2022-10,NORTH ,grocery  ,141254.94,29.1%
2022-10 ,North,Office ,123370.81,0.211
2022-10   ,north,pet,166147.77,12.4%
2022-10,  South  ,Electronics,134516.73,0.264
2022-10,SOUTH,home, 113841.50,22%
2022-10 ,  South,  fashion,USD 231396.05,0.267
2022-10,SoUtH,SPORTS,128259.85, 0.197 
2022-10,South   ,Beauty,32816.38,34.2%
2022-10,south,GrOcErY   ,85292.47,0.211
2022-10,South,  office   ,$228177.03,0.149
2022-10,South,PET ,237891.35,0.198
2022-10  ,East,ELECTRONICS ,118159.99 , 0.127 
  2022-10, EAST   ,home,98574.03,21.9%
2022-10,East,fashion,$199070.68,0.349
2022-10,East, sports,177381.42,33%
2022-10 ,East,Beauty   ,n/a, 0.19 
  2022-10,East,grocery,$232728.08,0.292
 2022-10,east,office, 203436.35,30.8%
2022-10,East, Pet,163745.66, 0.215 
  2022-10, West,Electronics   ,172457.73,32.1%
2022-10,WeSt, Home,48338.49 ,0.162
2022-10,West, Fashion,222768.66,?
2022-10,West   ,Sports,104334.76,21.8%
  2022-10,  ,BEAUTY,204739.76,0.179
 2022-10,West,Grocery  ,128757.29,0.133
  2022-10   ,WEST,  Office,76056.93,0.301
2022-10,  West  ,PET  ,"183,053.59",0.092
 ,central ,ELECTRONICS,96255.38,27.3%
2022-10   ,central    ,Home   ,"41,397.63",0.26
2022-10   ,  Central,  Fashion,56436.84, 0.232 
  2022-10,Central   ,Sports, 103156.80,0.083
 2022-10, central,Beauty ,77315.13,0.271
2022-10  ,Central,Grocery,$68220.29,0.282
 2022-10,Central,Office,241056.02,0.22
2022-10,Central,Pet,193611.59,0.116
2022-10,International,Electronics,$209424.23,0.12
2022-10,	international,Home,196965.63,30.7%
2022-10   ,International, Fashion,"110,126.28",0.322
  2022-10  ,international  ,Sports,USD 126403.89,0.327
  2022-10  ,international,Beauty,158488.96,0.342
2022-10 ,International,grocery,229858.05 ,9%
2022-10,International   ,Office,USD 92813.39,0.096
  2022-10,  international,pet, 116348.82,0.263
  2022-11,	North, Electronics,247122.45,0.266
2022-11 ,NORTH,Home,148476.78, 0.256 
2022-11   ,  North ,	fashion,99026.19,0.268
2022-11   ,North ,SpOrTs,USD 94321.20,0.175
2022-11, North , BeAuTy,221500.79,0.333
2022-11,  north, GROCERY,USD 164844.09,10.3%
2022-11, NoRtH   ,Office,"93,435.09",0.172
2022-11,NORTH,NA,93640.65, 0.266 
2022-11, South,electronics,94185.20 ,15%
2022-11,south,Home,NA,0.327
2022-11   ,South,Fashion,207777.20,0.168
 2022-11,  SOUTH,sports,93794.98,0.082
2022-11,  South,BEAUTY,198454.41,0.237
 2022-11,South , Grocery,140798.05,0.135
2022-11,SoUtH,Office,"151,864.60",30.0%
 2022-11   ,SOUTH,Pet   , 58387.94,0.217
2022-11,  East   ,Electronics, 133566.58,0.191
	2022-11, East,NULL,$234400.92,32%
2022-11,East ,Fashion,$183667.48,0.151
2022-11,  East,SpOrTs,72699.35,0.212
2022-11,East,  beauty    ,52583.26,0.229
 2022-11,  East   ,Grocery,61714.34,0.307
  2022-11   ,  EaSt, Office,$105027.19,31%
2022-11   ,East   ,Pet   ,35874.46 ,20%
2022-11 ,West,Electronics,56013.48,0.28
	  2022-11,west, Home,70864.98,24.0%
2022-11,  West   ,Fashion,151963.79,0.328
2022-11, WEST , Sports,"211,195.90",0.203
  2022-11, west  ,Beauty,129676.15,0.098
2022-11, West, grocery,USD 122282.99,0.131
2022-11,west,OFFICE,$86826.68,0.231
2022-11,west,Pet ,169756.59,23.2%
2022-11  ,  Central,ELECTRONICS,113949.95 ,0.332
2022-11,  Central,Home,$186640.28,34%
2022-11   , Central  ,Fashion,246362.86,0.19
2022-11  ,  CENTRAL   , SPORTS,74287.45,29%
    2022-11, central,BEAUTY ,34577.9,14.5%
  2022-11,central,grocery,171836.54,0.16
 2022-11,Central  ,office  ,189572.46,29%
  2022-11,Central,Pet,"152,288.84",26%
2022-11,international  ,  Electronics  ,"169,038.02",0.181
2022-11      ,international, Home,225149.88,0.139
2022-11,  International,FASHION,123695.91,0.227
2022-11, international ,Sports, 125149.09,34.4%
2022-11,  International,  BEAUTY,176996.59,0.246
2022-11,international,Grocery,234785.94,34%
2022-11   ,NULL,Office,74578.33,34.1%
2022-11,InTeRnAtIoNaL,Pet,226231.52 ,0.247
2022-12 ,  NoRtH,Electronics,USD 177857.31,0.322
  2022-12,  NORTH   ,Home,78489.81,0.308
  2022-12, North,fashion,USD 247288.35,14.8%
2022-12  ,north,Sports,$241025.05,0.342
2022-12   , north,Beauty,140041.88 ,0.201
2022-12,NoRtH   ,    Grocery, 138610.35,0.137
2022-12,NORTH ,OFFICE,191839.23,12%
2022-12,North  ,Pet,153284.29,15%
2022-12,	south   ,Electronics ,50908.33,13.4%
2022-12,South, Home,96152.32,0.286
2022-12,south,FASHION,117456.77,11%
  2022-12,South,Sports ,65314.33,0.106
2022-12  ,  SOUTH,beauty  ,176286.34,0.192
 2022-12, South   ,GROCERY,106829.65,NA
 2022-12,  South,null, 77421.07,0.172
2022-12 ,south  ,?,185635.51 ,0.306
2022-12,east,Electronics,63066.68,0.292
  2022-12,east,home,238364.14,28.8%
2022-12  ,EAST,Fashion ,33079.43,31.8%
2022-12 ,East,  SpOrTs  ,USD 144445.11,0.235
  2022-12  ,	East,BEAUTY,203710.03 ,0.295
2022-12,East ,grocery,38614.58,0.217
2022-12,	  East,Office   ,230373.5,0.202
2022-12, East,Pet,126464.05 ,10.6%
	2022-12,West,Electronics,USD 210063.69,0.215
2022-12,West,home,33437.44,0.216
2022-12,West,Fashion  ,173481.13, 0.232 
2022-12,WeSt,	Sports ,224470.9,0.313
2022-12,West,Beauty,185504.05,0.345
  2022-12,WeSt, Grocery  ,121246.78,34.6%
 2022-12 ,West ,  Office   ,243176.53,0.22
  2022-12,WEST  ,pet,226780.06,18.7%
2022-12,Central,ELECTRONICS,243148.32,0.303
2022-12,Central,HOME,249106.7,0.191
2022-12,	Central,Fashion,"170,552.82",32.4%
2022-12 ,  central,Sports,$119825.54,0.311
2022-12,Central,Beauty, 206951.72,0.296
 2022-12 ,Central  , Grocery,163834.04,0.127
2022-12, central,Office,96390.59, 0.134 
 2022-12,Central  ,PET,57063.35,0.144
2022-12,  international,Electronics,200151.96 ,0.285
  2022-12,	  international,Home,30952.96,25.3%
2022-12,  international,Fashion ,225548.02,0.227
2022-12, International,sports,222570.35,16%
2022-12,International ,beauty,71182.17,0.279
2022-12  ,INTERNATIONAL,Grocery   ,zero,34.4%
2022-12,  International , OFFICE,$62622.46,10.4%
2022-12,International,Pet,117161.56,8.1%
2023-01  ,NORTH,electronics,72138.45 ,0.208
2023-01  ,North,HOME  ,206147.83,0.159
2023-01,  North,  Fashion, 107000.52,15.6%
    2023-01,North,sports,$48716.64,0.202
2023-01,North,	Beauty,32042.13 ,0.138
	  2023-01,NORTH,GROCERY,235112.88,0.239
2023-01,north,Office,205751.09,0.348
2023-01,North,None,77962.54,0.15
