dog_id,dog_name,breed,age_years,weight_kg,height_cm,color,vaccinated,neutered,owner_city,owner_age,owner_income,diet_type,daily_walk_minutes,barks_per_day,vet_visits_per_year,last_vet_visit,adoption_date,favorite_toy,training_level,sensor_metric_1,sensor_metric_2,sensor_metric_3,sensor_metric_4,sensor_metric_5,sensor_metric_6,sensor_metric_7,sensor_metric_8,sensor_metric_9,sensor_metric_10,sensor_metric_11,sensor_metric_12,sensor_metric_13,sensor_metric_14,sensor_metric_15,sensor_metric_16,sensor_metric_17,sensor_metric_18,sensor_metric_19,sensor_metric_20,sensor_metric_21,sensor_metric_22,sensor_metric_23,sensor_metric_24,sensor_metric_25,sensor_metric_26,sensor_metric_27,sensor_metric_28,sensor_metric_29,sensor_metric_30
4024,Milo,nan,7.0,unknown,34.94,,No,No,London,60,72795,Unknown,-5,95,9,,,None,unknown,,74.20390735235392,36.516580576909355,59.56782105048022,54.28904437032547,40.21788828536585,,,,,65.34619886089446,43.61548687315575,,69.43370523604878,78.65565488565649,61.17226145384482,35.89828274901272,72.51723137496927,66.56609953319561,11.930783683929306,,,,missing,nan,,,missing,missing,70.55
4707,Cooper,Labrador,14.0,31.57kg,40.73kg,,Yes,Yes,Dubai,20,83882,Mixed,64,212,10,02-19-2019,03-07-2018,Rope,unknown,44.121992070714285,56.25217940698317,41.96895255882361,60.16829589577743,26.92356863263983,63.817038690903814,18.457358758741698,48.9632292833245,,24.75700981986168,67.04257534674431,69.50500163051122,,27.026474333436575,23.233329146394514,,3.9106926601518808,61.77230176490253,77.64939288173002,,7.06,nan,missing,error,,60.19,missing,,,missing
3048,Duke,Husky,10.0,,43.18,Golden,Yes,No,Lahore,44,70053,nan,92,162,2,21/06/2019,21/10/2021,Rope,nan,47.406889000165336,,42.92340959059306,76.76001866200647,61.97745758852378,42.33374676801711,42.52479535344684,62.04976840608433,4.187059853378123,47.51229020924974,41.03540698897339,37.64574587793871,,33.622920818961575,46.54823022849455,50.28819261232562,,49.81266871645124,39.5012836104717,48.26759594797848,missing,,nan,missing,error,nan,missing,,,missing
1320,Lola,Husky,16.0,45.95kg,17.82kg,Black,No,No,London,38,28444,Mixed,191,152,8,2016-03-23,12-21-2017,,Basic,,28.34585583701361,55.94838691444349,43.63403625662933,101.02703243356288,39.206251765440435,,63.61964821664003,,30.782492857773402,,92.70743460462491,,24.59271461308475,,44.42151827187233,,49.65447625909267,18.402732903877816,73.18710095400047,error,49.83,nan,,46.26,,missing,missing,,error
6915,,nan,16.0,,13.1,nan,Yes,Yes,Paris,64,67069,Mixed,10,258,nan,05-31-2019,,Rope,Advanced,85.94609950197966,,54.0559307335355,43.188329458467955,40.29849280554076,29.41366179399114,73.5522530584993,25.391538940226614,37.21220759530717,52.96985354422072,20.13478997778021,55.05158646170304,66.68094900510037,55.15017545003112,77.4945253726232,20.615922618158223,5.106758382302139,86.68511192873021,62.63780022681579,,,49.83,error,error,missing,60.19,error,missing,error,nan
5359,Lola,Pug,17.0,16.78kg,30.59kg,Brown,Yes,Yes,Berlin,83,69536,Raw,-1,158,4,05-25-2025,06-05-2024,None,None,87.25099409460991,15.50241637623352,,67.97001021125921,57.49350588672975,72.30452666833668,68.63541234424055,5.509479538636938,45.9517708159885,62.89315269590925,,41.72048274989759,,,79.5236793415857,,48.06724687000104,58.079531028530766,57.379922044701836,58.23781005112082,error,nan,82.12,,nan,60.19,missing,66.28,15.35,70.55
6595,Luna,Pug,4.0,29.29,37.46,Mixed,Yes,nan,Lahore,nan,96519,Unknown,20,291,13,03-09-2024,2017-07-30,Rope,unknown,33.86755374477947,48.06475011161049,79.065317017789,9.485491426122309,37.93448798762443,70.11532705980795,52.12215173305665,40.80391018864124,16.289204973387854,,54.55502995896582,56.883113507938035,,56.635242145283236,43.19619013857069,9.534288262478455,30.30025043726083,62.06317650135941,54.335541585251086,,nan,error,nan,missing,nan,nan,error,66.28,15.35,
3658,Charlie,nan,10.0,29.27,,nan,nan,nan,New York,27,141115,Unknown,46,92,-2,not_a_date,,Bone,unknown,29.409092271321665,63.31372771726279,24.510716780501017,43.62331759084138,9.36502282487642,54.57117058561553,19.426413720992972,35.16953579919609,53.893074902108005,,42.68366487841366,37.13316183039975,27.774861379887565,45.56997839136923,,45.59313776998891,,,38.91550608179606,79.82333378490114,,49.83,error,,,60.19,error,66.28,error,
5759,Bailey,Mixed,0.0,28.82,14.19,Mixed,No,No,Dubai,29,98989,Unknown,-18,252,-2,,,nan,Advanced,32.96621830112879,60.42404085035672,90.91670988181039,94.32729303280581,,40.53104932317222,23.655011443960937,55.32897500525783,65.58097156723399,86.54651426740253,43.12315074648957,,,92.66117435372814,10.678369053871442,,45.061324085490334,62.94493208411437,42.631827186232385,,missing,error,,nan,missing,error,,nan,error,missing
6427,Lola,Poodle,-2.0,11.47,24.49,nan,No,Yes,Toronto,18,133183,nan,184,230,4,12-08-2024,,nan,None,55.28906060808687,54.05505311499218,37.56152820524652,,,,23.466580639180627,14.111979782764905,48.87241586511685,10.008429823666631,38.377252421512395,54.81773705680335,,46.02811937219264,18.06908711624136,39.43975883474941,88.68625832114499,55.48471863333009,89.1722537450351,,error,49.83,missing,33.4,missing,missing,nan,missing,nan,missing
2393,Buddy,Pug,10.0,,5.5kg,Mixed,Yes,nan,Dubai,47,133103,Dry,nan,28,6,,11/03/2020,nan,None,,43.59746092320614,48.099126181397025,65.9595312223557,28.90453094094106,35.49385920570393,33.192325836033795,17.638179166595357,74.91815251817373,88.0228335119587,43.330454684394475,45.88237030747358,27.553226122130717,18.757992540479794,39.11383262656992,45.06489557697172,34.69612952371311,,35.13427727520199,54.94767831236611,error,,nan,,,error,40.42,,nan,70.55
4136,Cooper,Golden Retriever,-1.0,37.68kg,45.75kg,White,Yes,Yes,Karachi,80,141951,Wet,127,130,3,,08/01/2020,None,Intermediate,38.14802317060701,,69.59242233990958,76.86601908076277,72.89253492909538,55.75409986478689,37.18688934900641,69.31135389157025,48.01747152304232,24.80372134897081,48.086193950738256,75.69325165917957,5.24835608076792,40.79764999432551,67.84455725456529,20.179422847958683,31.656007628643998,,80.0522692649319,71.01368721918215,missing,49.83,nan,missing,error,60.19,,,,
6308,Luna,Golden Retriever,-3.0,38.72kg,40.24,nan,No,nan,Toronto,54,55480,nan,15,53,2,2019-01-26,07/04/2016,Frisbee,nan,51.1228038293834,63.496396071655845,57.553623424984906,66.4758909445181,42.55232006925558,39.02746928879806,42.497708901573475,64.06380539065165,43.0984860583316,,50.82128466530995,52.58617543663442,60.1906800084921,52.488391508835,51.53231765405428,35.907255606750255,52.15376356818078,36.16194866535348,61.48476597867162,64.1705126294054,7.06,missing,82.12,missing,error,nan,error,error,nan,missing
1557,Max,Bulldog,13.0,10.32,,,Yes,No,Lahore,15,82515,nan,unknown,206,3,11-03-2024,2023-08-16,Frisbee,nan,54.774611135505545,38.17124718339824,29.68242755583699,,34.11962533958936,,62.16006723091254,5.299761002604882,,53.4570965553348,52.60110504297939,30.146653627739795,61.14197416092237,41.26190343623111,70.42718173116886,80.74556224070142,93.94626221580218,22.474637388413594,,77.92090817714919,nan,missing,82.12,missing,missing,error,,error,missing,missing
5903,Charlie,German Shepherd,-2.0,,38.26,nan,nan,No,Lahore,64,33447,nan,50,24,2,01/05/2018,2016-08-18,,unknown,83.31751604887393,70.93800694080255,,40.500021430719485,41.67698009058922,39.75079608993845,93.05258595571554,40.164843432130056,29.681495446425608,,51.35850002793547,62.01036589358645,26.161635756579553,36.4308972200799,,40.073776684825425,5.199973920701154,,61.561111488427684,49.785243231639,error,missing,82.12,missing,46.26,60.19,nan,nan,error,
6757,,German Shepherd,,8.19,,White,Yes,nan,nan,54,33100,Mixed,158,249,12,2018-12-24,06-02-2018,Frisbee,Intermediate,,52.71672965415535,52.455143150285785,48.12678552147748,26.250409069008125,53.45021213947493,110.28859588370176,39.05805723714471,41.369440661826765,17.74180869405899,64.09101601964181,,42.40628969838807,35.392079534766175,48.63221980039345,64.39092482486123,,36.78002731730331,,53.375478927161545,nan,49.83,missing,33.4,nan,missing,error,error,missing,missing
5402,Bailey,Poodle,11.0,5.08,,nan,No,No,New York,89,109247,Unknown,40,97,nan,2020-06-28,,None,unknown,,33.03307538078086,67.00298635425756,,,44.58137468100308,59.77057062814585,53.6474856979405,28.33609521462179,,35.389766797165784,,47.55856415146031,,28.318294275960664,71.53633300439859,61.50041210706382,,24.97291824648827,27.73088218555571,7.06,,missing,nan,46.26,missing,nan,,,error
1193,Charlie,Pug,21.0,15.39,47.16,Golden,No,Yes,Paris,30,111516,Unknown,104,117,12,12-28-2018,10/06/2025,,Intermediate,74.45746767577712,6.689307583267038,31.912516569146916,47.55065658891444,33.46607025992307,64.81527271192388,,50.08065283107439,21.189821794094094,25.728464179096417,,57.46788963072733,55.03675378385482,49.76889023649649,48.36357378002458,51.357221570050555,71.84695167043873,,,,,error,82.12,error,missing,error,missing,missing,missing,missing
2454,Max,German Shepherd,6.0,,14.27,Brown,No,Yes,London,50,64388,Mixed,17,278,1,29/12/2023,09/01/2021,Rope,None,,43.55725540295573,63.55555733787617,13.025460369857633,48.21543671144958,43.63779750528948,29.433462247001,,46.209187405981524,38.72852458500017,,56.184735965989496,63.46645560550438,11.50238779514946,60.89379185881566,51.893491574668786,,16.288477914713795,85.63967387222758,24.86342860356839,missing,nan,,error,46.26,error,missing,,15.35,missing
3496,Charlie,Mixed,21.0,unknown,40.88,Black,Yes,No,Sydney,42,86204,nan,-5,220,4,05/12/2023,27/06/2025,Rope,unknown,15.454435554178076,47.066316501673086,32.28251288149559,50.5603403470516,,45.85046142507107,26.27014579404788,49.312952207663635,,89.90301093761421,36.54787673906742,79.59136751002592,28.138095079576257,37.33256264479115,55.60489728486395,,,63.0637352917494,,53.25376179037767,7.06,49.83,error,nan,,missing,error,missing,,error
4984,Luna,Beagle,5.0,6.76,21.41kg,Black,nan,nan,Karachi,80,109431,nan,53,104,3,,2020-05-29,Frisbee,Intermediate,61.234805206777786,35.72894739543272,46.1109559544774,47.06374823522908,36.85662133454134,,,64.01542171637362,,41.26693225537979,95.65679330024861,78.65991962956936,,100.24337849465569,21.599446583068204,59.60291811510905,81.03429530734016,46.13582504073824,73.69451718985722,47.345636626027115,error,missing,82.12,missing,nan,60.19,,66.28,nan,error
6871,Daisy,German Shepherd,11.0,49.37,unknown,Brown,nan,No,nan,38,42608,Unknown,65,152,2,17/03/2018,2022-08-27,Rope,unknown,24.623611397464988,32.12921768112369,49.24778087993406,47.15740212885533,63.474264818059396,31.021574940123696,70.97146285359277,68.90565778498019,56.429543240756786,54.43700488585063,14.312911703367767,,63.89064684326305,53.80507226714367,45.0994809895809,41.826041469369144,77.84309708537968,74.26074270067666,53.175648291711425,65.7227814896696,nan,nan,,error,missing,60.19,missing,error,missing,missing
2899,Milo,Boxer,4.0,,19.09,Mixed,nan,Yes,Karachi,63,119384,Dry,66,258,2,29/07/2023,2024-03-11,Bone,Advanced,43.50117434086504,31.88495180974707,44.67653050595734,64.64469041017145,39.20405437904964,36.00567536755213,40.51093230288842,33.03572243760753,61.5586062191725,48.340773433624705,,61.339320385099434,52.39874400774046,19.014447541288213,46.61832444811805,81.2268174807715,62.889471640534566,94.62579418551964,,47.38636899477289,error,,nan,missing,missing,nan,error,nan,15.35,nan
1323,Charlie,Boxer,3.0,36.8,44.69,Golden,Yes,No,Toronto,72,132421,nan,128,29,13,08-27-2020,11-03-2021,nan,unknown,17.80874526299582,,38.79395012756001,33.39991392960285,,68.8474621004037,,26.65715519773757,56.831606035920025,,55.17689493517266,38.51975188403229,41.31282457177909,,35.47928785527338,52.48239784073411,41.163198736818046,55.539557742108144,,32.209843833796185,7.06,missing,nan,33.4,nan,nan,nan,error,nan,error
3979,Toby,Boxer,11.0,24.21,9.51,nan,No,No,Karachi,47,97428,Dry,130,23,3,,2017-11-21,Ball,nan,,51.50414836386529,58.2087552187427,92.32042517451903,21.796068114169177,45.87435480974949,97.34141539774036,56.68438469329709,,55.843321527019235,15.595060083579128,13.691449814198442,80.36805903582399,44.41448154808489,21.57829035701093,92.0609866172091,41.366105461338265,55.708539644749294,31.180074529775514,93.64647733108183,missing,49.83,error,missing,,nan,40.42,66.28,missing,
7049,Daisy,Boxer,13.0,42.53,7.24kg,Golden,No,Yes,Dubai,39,108147,Raw,44,62,0,02/01/2019,22/12/2018,Ball,unknown,61.71437932027313,40.53028709232648,37.11773467258287,43.854451051646095,57.007459203730754,69.97305524262238,54.46541500329029,56.891496075668826,44.505158979190085,,18.833458116158074,23.011629810178572,,53.746752502095816,,,60.81129240108164,31.71607682048966,,59.47289686770982,7.06,49.83,missing,nan,nan,error,missing,,15.35,
4950,Max,Boxer,10.0,25.9,,Brown,Yes,Yes,Sydney,51,61587,Dry,5,92,0,08-03-2024,27/05/2024,,nan,45.826963467099276,56.76549056751573,37.906045246133196,61.72279900500181,,102.53857312830695,,64.88050466474027,65.07060339815695,49.75039557816711,25.94976466588228,67.8136599759062,,46.443328014448184,76.96590134077235,72.91595796330549,38.3504221001339,38.38224408519246,46.3430894368443,73.4051466630208,,missing,82.12,missing,,60.19,40.42,nan,missing,nan
3682,Cooper,Pug,19.0,unknown,,Brown,Yes,Yes,Sydney,20,100394,Raw,-18,205,-1,03-15-2021,28/03/2018,Bone,nan,65.80106637529069,13.073910312431707,40.815686056349044,55.820284804617934,34.473134026119936,24.227979476385123,49.14711059892948,82.13331213668248,105.12689990900381,87.54745486533989,43.78669710977539,,40.91190283780316,31.028190922396185,37.780219679734756,86.78987786469531,0.578206709775877,48.04659586593315,65.87367072815462,76.53134271228292,,nan,,,missing,,missing,nan,15.35,
6647,Lucy,Beagle,13.0,,5.37,White,Yes,Yes,Paris,46,25168,Wet,-19,38,1,,2019-09-11,Ball,unknown,32.85492789699465,,66.11517473820983,40.48965138096746,43.097850382598594,38.54322185417958,,71.33758090026743,67.75387237061152,68.96811134467711,58.63012970349681,,27.726935165649856,42.44588587115615,55.083947866784314,29.93802954192518,45.54251211983425,55.190762348815625,,,error,,82.12,error,46.26,missing,,missing,missing,
5671,nan,Boxer,1.0,35.93kg,7.91kg,Mixed,nan,nan,Lahore,82,22480,Dry,153,112,-1,2021-08-04,04-16-2025,,Advanced,56.107257544458875,,50.135654095319985,,56.85275474955401,47.647444321157266,8.494295374636216,88.01186889251503,30.853457894869088,29.31320387459047,43.42336848493564,17.565780295421185,67.58773672898586,49.82228348297332,77.90629721767786,59.46875964851829,38.89804558266142,-1.2810855886279242,33.27165798350547,34.40818606224194,error,,nan,nan,46.26,60.19,error,nan,15.35,missing
4739,,Beagle,5.0,15.46,21.44,Brown,Yes,Yes,Lahore,54,69943,Mixed,152,15,-2,02/01/2023,2018-01-30,,unknown,59.94867453147994,52.550326910661944,45.50812318069411,74.87701199532555,14.358594263127152,60.12966893686693,,,,59.01178981683992,42.34196789242699,70.91939366676398,49.485541603850955,,24.580316260140034,35.32245848595199,20.28208279771045,60.74058127680338,,54.367471152333565,nan,,,33.4,,,error,nan,,error
7195,Charlie,Husky,2.0,36.63,,,Yes,No,London,37,40948,Mixed,52,296,3,,07-15-2023,Bone,nan,57.94721569334145,59.702153392416065,,88.079370881816,,43.97012354234939,88.94829584680056,36.60252837828826,62.765354850783766,64.31054829790898,,50.12095939586571,73.96869588158714,57.757221269681544,30.85543852649402,62.789129176134125,41.740433923535534,11.649050706678054,,51.50616106074308,7.06,49.83,,33.4,error,,,missing,error,error
6484,Charlie,Beagle,18.0,14.71,,White,No,No,Lahore,52,96951,Mixed,139,48,-2,2025-04-11,2022-07-16,,nan,51.14473404616246,,,49.2221676780731,58.35214891577017,53.62466851576368,62.68011940537271,,2.2688811315358492,29.998094514000574,,,,39.66834086587647,62.670375573405906,,45.46799552399005,65.51653689572922,49.19998647305518,,error,49.83,missing,nan,error,missing,,nan,15.35,
5833,Buddy,German Shepherd,17.0,15.96,22.04,Brown,nan,Yes,Toronto,45,71899,Mixed,66,64,3,2021-02-10,12-18-2017,,Basic,46.978052776448315,45.93580586460669,58.546453159200595,86.2071239754831,48.23018812946244,,43.8768740563853,65.3593830784492,44.172918043136846,40.78209019800953,69.80354177454848,39.03823830589699,54.73105395002636,66.33648346701054,68.91422709381303,46.28711080841425,29.45734895268158,46.231878589902344,36.72516190834467,57.36839751832277,nan,error,,33.4,46.26,,40.42,nan,nan,
1530,Lucy,Bulldog,12.0,,13.57,Black,No,Yes,Berlin,85,132111,Raw,197,64,13,not_a_date,,,Basic,,,60.7008445354185,62.34268620661006,66.14232714998636,,31.692743765402696,60.09354213771011,42.454479351231015,,31.867728864967027,58.234636023214975,98.52072662705726,,,,,,,45.276814714844015,error,missing,nan,error,,error,40.42,,nan,70.55
4758,Bailey,Golden Retriever,1.0,,8.85,Black,No,No,Dubai,45,53900,Wet,141,131,5,07-05-2025,2017-03-13,nan,None,40.32947588410812,69.88313758715833,43.2843773931474,62.36169052018124,98.44375911480192,43.80206918893133,75.48726456590872,34.81940239107922,20.077918549966856,16.29756756863,23.687628914512754,53.815053691342094,1.2343655044397934,57.52132616212108,27.768439004488442,,76.89122461481568,57.16978513069095,48.84174084492165,67.64009407052079,,49.83,82.12,33.4,,nan,missing,missing,error,missing
6048,Rocky,Mixed,14.0,26.96,,Black,nan,No,Sydney,87,59359,nan,169,231,2,not_a_date,2023-03-17,Frisbee,Basic,64.5111536090704,36.48980372770169,104.08199147952477,12.012038579415673,29.61783015729566,29.655956710871102,,52.2370172458837,69.10486394511787,48.141403341985296,,66.05059944542006,12.829281086073443,57.49407860178801,43.81053614018297,,53.55525473638519,25.772591380158826,84.50103802865043,42.39859323554619,missing,49.83,,missing,error,,nan,error,nan,error
7412,Bear,Golden Retriever,20.0,,30.81,Mixed,No,nan,Toronto,73,27880,Unknown,14,15,13,not_a_date,2017-11-22,,nan,55.69630399887097,,,67.7323651692646,54.04813806589776,61.08697305621325,66.90637730826394,78.83616509771998,23.582146793234738,40.04657657847413,33.87094068204585,51.81859265502337,34.187536292928144,6.942826896651752,76.66432150583853,59.847896290081835,19.408916882886388,70.50872344052846,56.07297390343332,52.089453270899234,error,missing,82.12,,error,,missing,66.28,nan,70.55
5657,Bear,Unknown,20.0,unknown,31.09,White,Yes,Yes,Toronto,34,68545,Mixed,9,124,9,,07-02-2016,Bone,nan,34.127388549206366,26.467874825380452,84.06090172403034,,,,61.50203754755145,56.33962675236883,44.49552828522019,45.46760909962794,93.06281383579841,46.16073602338868,100.62283453323592,66.75967471601336,35.867525192329325,85.11938431410627,29.11618286822077,31.819753535260592,98.76103984591634,26.35256163651747,,error,nan,missing,error,error,nan,,,missing
5618,Toby,Labrador,-2.0,,34.39kg,White,Yes,Yes,Tokyo,18,126221,Raw,108,0,-1,01-01-2019,,Ball,None,24.117713701976804,79.87200594601347,63.420572367691385,22.253458463314523,37.00727051751554,21.607895569648413,,,85.44118523052488,35.55499914596355,60.34693049903267,57.58941011721785,49.31356301586164,56.45765025481962,57.7933827219155,42.455562496913565,66.5175456408718,,66.4337424956155,13.500596419128257,7.06,nan,nan,missing,missing,,missing,66.28,nan,
5931,Rocky,Poodle,4.0,,37.76,Black,nan,nan,nan,52,101299,Wet,92,84,7,2019-09-06,02/05/2022,Ball,Advanced,,63.27542776053264,79.57816130453821,25.379015082866584,25.816675325525207,46.90751646351577,67.61390489036268,,42.21858952273002,63.51206252511337,80.68956127511953,41.64135739745531,49.93526831849362,36.670911950961255,37.46039521028544,26.256368989981468,26.351041676024103,,,40.10272418109706,error,missing,error,missing,missing,missing,,66.28,15.35,
1980,Cooper,Husky,2.0,17.92,34.45,nan,nan,Yes,Lahore,53,80219,Raw,194,276,unknown,08-20-2022,12-05-2016,,nan,80.18001641863863,,40.76319329828519,100.05858436082713,56.019335066836675,58.58512740922886,46.80116240881154,17.120375837091565,51.79906131237177,27.81923269189936,,82.2290400365209,68.20358362340275,42.27090091482227,9.445781901697615,49.85221097252313,27.776161896223744,64.17713833197242,36.55307950178851,,error,nan,error,error,,nan,,error,15.35,nan
3860,Toby,Labrador,17.0,,unknown,nan,Yes,nan,Berlin,29,123197,nan,154,5,5,not_a_date,03/10/2022,Frisbee,unknown,62.13412246310723,39.20572628243203,54.60288606157139,70.23183917170121,68.2419346512533,52.87636023926993,56.900660878264304,63.619786572190975,29.176955900233065,-6.883694684659133,36.65085136083935,37.72583649301417,,92.52651217859417,57.86319458005967,46.68086984626464,,49.338759237531654,47.28257011142408,68.22553900738876,error,,error,error,46.26,,,,error,missing
3498,Lucy,nan,9.0,23.74,16.86,White,nan,Yes,Paris,19,48081,Mixed,71,118,9,03-09-2018,04/02/2019,Bone,Advanced,20.46267426120712,69.61556198620119,36.59234824227102,83.51512015827299,68.24366314849034,56.42874571812998,,28.761875656177494,,36.394102193123445,,,38.51661323482807,52.85761258663911,35.21718211774642,49.28537191415225,27.418508338750883,53.85748450390854,30.709045929617922,36.37655904643826,7.06,error,missing,error,,nan,,missing,error,
6582,Rocky,German Shepherd,,14.02,27.17,Mixed,Yes,nan,New York,nan,99948,Wet,91,51,12,27/05/2018,01-09-2023,Ball,unknown,34.24340764948565,31.243148453459632,48.35703853480261,,,79.30379138566569,64.19537960013446,,62.930901772465425,25.136349234322953,46.5378794764076,66.78878436488704,55.524783543852635,18.902146682306732,,44.91542188344503,,74.87067390644154,59.075253890038084,62.68605391658848,nan,nan,missing,,missing,60.19,missing,,15.35,missing
1942,,German Shepherd,4.0,45.28,27.58,Brown,Yes,No,Dubai,62,104185,nan,17,270,10,not_a_date,02-28-2025,Rope,Intermediate,69.78481847939388,59.25494509777927,89.38659882859909,78.45467899402531,,65.4221701789528,40.54703172876481,27.24503322634531,51.315574852501165,71.64031681549521,79.27196782093392,48.86903137124215,46.4422033181497,28.11787891194236,6.34628985300499,60.97826794289148,47.314464117709115,69.01721342473644,75.35167112796739,68.28669599316673,nan,,nan,,missing,missing,missing,nan,missing,
3240,Bella,Bulldog,19.0,9.87,16.98,Black,No,Yes,London,62,125477,Dry,11,29,2,2017-10-01,11/03/2024,Bone,unknown,,,37.96177342948877,,64.69804449583262,,,56.15565429044582,,74.56645650831985,36.12282997060114,71.09467086046422,,68.12117032810022,38.08460186574628,,43.57815685484566,23.491686151316813,,55.34028376754697,nan,nan,missing,error,error,60.19,40.42,,missing,error
