cat_id,name,breed,age_years,weight_kg,color,gender,vaccinated,neutered,microchipped,owner_city,diet_type,health_status,last_vet_visit,metric_15,category_16,value_17,metric_18,category_19,value_20,metric_21,category_22,value_23,metric_24,category_25,value_26,metric_27,category_28,value_29,metric_30,category_31,value_32,metric_33,category_34,value_35,metric_36,category_37,value_38,metric_39,category_40,value_41,metric_42,category_43,value_44,metric_45,category_46,value_47,metric_48,category_49
14,Kitty,,11,4.55,White,female,No,NO,,New York,wet,Sick,05/01/2024,29.92,b,,53.34,A,56.0,58.64,a,71.0,73.61,B,82.0,70.87,Unknown,97.0,45.9,B,85.0,38.59,C,12.0,68.13, ,77.0,64.53,b,46.0,48.38,b,25.0,25.7,D,30.0,22.59,C
15,Nala, Ragdoll,16,2.65,Gray,Female,no,,Unknown,Tokyo,dry,healthy,2024/01/05,9.74,D,52.0,50.61,a,91.0,88.95,a,50.0,28.99,C,71.0,42.86,a,61.0,27.91,b,0.0,44.87,D,35.0,67.75,C,48.0,55.43,Unknown,89.0,67.01,D,67.0,59.13,A,76.0,28.88,B
16,Nala,Abyssinian,22,4.69,Gray,F,N,YES,Yes,Toronto,Dry,Checkup Needed,2024/01/05,72.38,B,15.0,48.02, ,91.0,35.16, ,73.0,49.55,Unknown,78.0,14.19,a,86.0,50.89,A,96.0,29.0,Unknown,57.0,31.42,A,70.0,53.89,A,47.0,64.69,A,79.0,46.03,B,65.0,61.76,a
17,Smokey, Ragdoll,15,5.0, WHITE,female,yes,No,,TOKYO,wet,SICK,,16.55,b,24.0,39.72,a,59.0,82.72, ,64.0,35.4,A,53.0,51.84,D,48.0,73.6,C,35.0,78.61,D,2.0,66.32,a,36.0,60.39,D,75.0,53.33, ,30.0,70.36,B,19.0,57.34,B
18,Chloe,Ragdoll ,1,6.05,Gray,Male,Yes,Yes,No,Sydney,dry,Healthy,2024-01-05,46.69,B,,62.13, ,2.0,51.08, ,26.0,80.61,B,48.0,47.77,b,53.0,52.32,a,71.0,43.17,Unknown,29.0,40.1,Unknown,70.0,66.22,a,37.0,70.96,D,,67.26,C,77.0,70.23,a
19,Milo,Bengal ,6,4.77,Brown,Female,No,Yes,Yes,Berlin,,Healthy,2024/01/05,35.17,C,47.0,84.43,A,,45.78,A,93.0,57.43,b,17.0,56.76,B,64.0,73.83,B,66.0,33.12,A,,40.89, ,98.0,56.4,a,16.0,66.16,a,,,C,84.0,38.92,D
20,Kitty, Scottish Fold,13,3.66,Brown,Male,Y,No,,TOKYO,dry,healthy,05/01/2024,50.36,b,72.0,36.17,A,88.0,21.43,a,95.0,65.99,B,66.0,56.6, ,73.0,77.09,C,97.0,26.81,A,96.0,43.62,b,81.0,8.1,B,73.0,36.83,B,68.0,61.27,B,77.0,24.82,B
21,Simba,ABYSSINIAN,9,4.96,Orange,Unknown,yes,,Unknown,,,healthy,05/01/2024,36.56,a,58.0,47.39,A,83.0,64.58,A,24.0,13.32,D,4.0,36.71,a,57.0,29.32,a,,-1.71,b,50.0,70.48,D,32.0,61.52,A,72.0,49.0,B,82.0,62.92,C,39.0,60.52,A
22,Simba,,1,5.28,,F,Y,Yes,Unknown,Berlin,dry,Sick,,38.29, ,73.0,67.34,D,60.0,33.43, ,81.0,50.17,B,61.0,62.89,b,29.0,31.74,B,11.0,70.61,A,21.0,26.76,A,67.0,33.14,a,59.0,39.82,Unknown,32.0,31.86,b,31.0,21.52,C
23,Oreo,Abyssinian,10,5.0,black ,female,no,No,Yes,New York,Mixed,SICK,,62.61,a,47.0,47.58,C,83.0,64.31,B,21.0,50.36,Unknown,67.0,37.88,A,1.0,79.34, ,6.0,38.19,C,2.0,68.49,D,5.0,24.31,A,80.0,43.62,B,7.0,16.48,A,66.0,30.74,A
24,Nala,Unknown,9,3.34,Orange,female,,,No,New York,Wet,,2024-01-05,71.61, ,31.0,45.22, ,46.0,3.61,D,82.0,36.67,b,65.0,89.56, ,33.0,33.79,C,79.0,21.78,b,35.0,27.94,B,25.0,68.07,B,76.0,57.34,Unknown,91.0,45.25,D,63.0,62.84,B
25,Milo,Unknown,19,6.87,Orange,F,No,YES,No,Berlin,,,2024-01-05,20.82,B,45.0,error, ,9.0,57.3, ,43.0,70.76,b,42.0,53.13,b,89.0,22.13,Unknown,84.0,38.32,D,11.0,46.66,a,23.0,42.63,D,22.0,66.03, ,32.0,45.1,A,55.0,86.6,C
26,Bella,Persian ,15,6.5,Mixed,Unknown,N,Yes,,,dry,Checkup Needed,,5.67,Unknown,23.0,21.6,B,32.0,57.3,b,98.0,59.78,b,6.0,52.18,B,25.0,24.92,b,84.0,56.72,A,5.0,62.07,b,,66.35,C,,44.05,C,97.0,42.06,b,23.0,45.94, 
27,Shadow,,16,3.53,Orange,Female,,,Unknown, london,wet,healthy,2024-01-05,63.18, ,17.0,42.09, ,37.0,64.53,C,50.0,52.58,b,75.0,33.4,D,25.0,59.73,Unknown,90.0,70.55,C,95.0,52.76,Unknown,49.0,63.8,B,41.0,48.34,a,30.0,56.58,B,,73.27,D
28,Tiger,ragdoll,8,5.97,Brown,Male,no,No,No,Paris,Mixed,SICK,Jan 5 2024,63.4,a,50.0,75.15,B,98.0,59.79,a,0.0,60.56,Unknown,72.0,53.55,D,77.0,74.93, ,81.0,31.46,b,65.0,35.65,A,4.0,74.6,Unknown,95.0,36.51, ,4.0,47.48,D,87.0,48.79,b
29,Nala,Unknown,9,2.77,White,,yes,Yes,,Toronto,,SICK,2024-01-05,14.96,Unknown,1.0,21.5,A,65.0,19.14,b,87.0,66.57,Unknown,3.0,43.58,A,35.0,48.35,D,86.0,28.96,Unknown,37.0,48.52,a,35.0,115.1,a,10.0,1.82,Unknown,,47.99,b,27.0,23.67,C
30,Shadow,siamese,13,3.66,White,Unknown,Yes,No,,TOKYO,Mixed,Sick,,63.98,Unknown,69.0,69.42,D,45.0,23.2,B,64.0,74.35,a,6.0,26.81, ,28.0,34.4,D,46.0,50.5,a,39.0,58.25,A,41.0,69.8,D,82.0,64.77,A,,34.23,C,24.0,16.49,A
31,Loki,bengal,4,1.06,Orange,M,,NO,No,Sydney,dry,Healthy,2024-01-05,52.41,A,73.0,65.11,B,88.0,unknown,B,15.0,85.82,B,15.0,N/A,b,,16.81,D,99.0,75.27,D,91.0,32.15,D,,34.94,Unknown,61.0,38.75,D,98.0,16.04,b,27.0,25.43,b
32,Leo,,1,2.87,,M,N,YES,,,,,2024-01-05,41.4,B,56.0,68.69,a,79.0,84.31,D,63.0,72.78,A,34.0,78.65,b,90.0,38.96, ,,20.57,Unknown,66.0,99.44,A,53.0,31.91, ,50.0,45.58,Unknown,87.0,45.79,B,18.0,52.13, 
33,Luna, Abyssinian,16,4.27,Brown,Unknown,N,No,Unknown,London,Wet,,,29.66,Unknown,47.0,77.47, ,41.0,43.83,Unknown,27.0,52.85,C,25.0,54.9,a,11.0,50.56,a,25.0,74.33,b,10.0,43.52,a,12.0,60.98,b,39.0,69.67,B,,33.85,B,14.0,47.61,a
34,Leo,Siamese,19,4.12,Black,M,no,NO,,New York,Mixed,Sick,05/01/2024,20.09,C,58.0,23.22,b,0.0,34.29,Unknown,97.0,56.15,C,,77.19,B,71.0,24.04,A,50.0,35.64,a,69.0,24.79,Unknown,87.0,67.41,C,68.0,7.26,a,25.0,34.02,Unknown,34.0,50.09,a
35,Bella,Ragdoll ,1,4.72,Gray,Unknown,N,YES,No,New York,,SICK,Jan 5 2024,61.43, ,73.0,error,A,62.0,13.96,D,9.0,53.1,B,,45.6,D,41.0,31.35,C,24.0,61.77,C,94.0,6.42,B,69.0,64.66,b,64.0,44.17,a,90.0,44.7, ,0.0,74.97,a
36,Oreo,Scottish Fold,19,2.97,Orange,male,yes,,,Berlin,wet,Checkup Needed,05/01/2024,66.96,A,,38.14,a,56.0,29.91,Unknown,92.0,87.27,a,39.0,unknown,Unknown,65.0,32.41,C,62.0,51.32,a,51.0,45.5,b,56.0,33.47,Unknown,56.0,50.38,B,86.0,63.1,b,49.0,76.28,a
37,Luna,Sphynx ,-1,3.66,Black,male,,Yes,,Berlin,Dry,Sick,2024/01/05,52.06,Unknown,,48.76,B,57.0,-7.84,B,63.0,110.15,C,24.0,60.41, ,92.0,68.78,b,86.0,54.1,a,44.0,60.96,a,43.0,19.8,C,0.0,32.1, ,31.0,N/A,C,59.0,61.51, 
38,Oliver,Unknown,23,2.99,black ,Male,,YES,,Toronto,wet,Checkup Needed,05/01/2024,72.51,B,18.0,44.89,a,17.0,54.12,Unknown,82.0,32.03,b,81.0,, ,29.0,44.96,b,31.0,44.9, ,,81.41,D,11.0,56.68,a,45.0,18.86,B,13.0,40.23,D,48.0,62.35,a
39,Leo,Siamese ,8,4.94,Brown,Female,Y,,Unknown,Toronto,Mixed,,05/01/2024,63.0,B,67.0,72.53,Unknown,40.0,24.55,D,23.0,43.44,C,42.0,48.24,B,,85.34,B,38.0,47.13, ,37.0,29.22,C,64.0,60.76,a,30.0,51.59, ,19.0,94.0, ,,37.26,D
40,Nala,,-1,6.42, WHITE,male,N,YES,Yes,Paris,wet,Checkup Needed,,62.7,D,38.0,48.55,B,38.0,16.61,B,97.0,11.7,D,42.0,62.9,B,,62.84,a,59.0,69.73,Unknown,0.0,56.28,B,85.0,62.98,B,8.0,62.52,C,28.0,51.79,b,41.0,20.69,D
41,Milo,abyssinian,24,5.53,White,Male,yes,No,,Paris,dry,,05/01/2024,14.13, ,95.0,69.95,a,,66.1,D,16.0,37.45,Unknown,49.0,8.7,D,10.0,65.86, ,,48.99,a,73.0,50.03,b,,47.1,A,,45.58,Unknown,39.0,53.08,A,97.0,58.35,Unknown
42,Leo,Abyssinian ,19,4.55,Gray,F,yes,No,No,Tokyo,,Sick,Jan 5 2024,60.6,a,27.0,60.0,A,96.0,51.1,C,20.0,66.14,D,98.0,41.0,Unknown,,20.97,b,1.0,51.31, ,85.0,50.66, ,4.0,85.29,b,,21.08,D,69.0,34.72,C,7.0,67.2,A
43,Tiger, Sphynx,23,35.94, WHITE,F,Yes,,Yes,Tokyo,,Checkup Needed,,16.63,D,41.0,50.12,B,37.0,46.57,B,24.0,35.7,Unknown,79.0,81.26,D,82.0,61.29,D,7.0,65.91,A,33.0,48.1,b,20.0,34.33,A,82.0,39.71, ,74.0,38.76,A,19.0,59.48,C
44,Leo,Siamese ,8,4.26, WHITE,,Y,Yes,No,Toronto,Wet,Sick,,46.76,A,91.0,46.87,b,95.0,53.41,Unknown,,54.09,D,24.0,45.85,Unknown,43.0,24.57,D,1.0,56.35,B,70.0,39.03,D,89.0,39.59,a,76.0,49.34,D,77.0,53.83,B,16.0,54.44,C
45,Leo,BRITISH SHORTHAIR,22,1.75,black ,Unknown,no,NO,,Berlin,,,Jan 5 2024,33.26,b,39.0,21.88,Unknown,16.0,19.96,A,20.0,28.84,C,13.0,61.46,D,,58.38,D,27.0,72.97,D,46.0,,a,11.0,42.19,a,31.0,31.98,D,56.0,44.64,D,68.0,42.74,B
46,Oreo,BENGAL,7,6.76,Brown,female,no,YES,Unknown,Sydney,dry,,,72.89, ,56.0,62.71,B,,16.88,C,32.0,41.03,B,26.0,60.63,Unknown,89.0,42.62,B,27.0,65.89, ,31.0,61.41,D,30.0,72.17,B,91.0,14.74,Unknown,6.0,79.88,D,,45.58,a
47,Simba,maine coon,11,5.57,black ,Unknown,,YES,No,London,Mixed,Checkup Needed,2024-01-05,47.75,D,67.0,unknown,A,51.0,39.98,C,27.0,49.15,C,50.0,38.84,a,74.0,29.93,C,87.0,68.59,C,19.0,49.21,B,55.0,60.6,A,81.0,44.53, ,51.0,2.94, ,54.0,66.06,A
48,Luna,Maine Coon,17,4.09,Orange,Male,No,YES,,Tokyo,,Healthy,Jan 5 2024,59.34, ,57.0,104.84,Unknown,15.0,72.8,a,62.0,43.19,B,0.0,59.81,C,81.0,58.25, ,34.0,45.26,D,43.0,43.27,D,90.0,34.62,b,25.0,52.54,C,60.0,,a,54.0,68.13,C
49,Milo, Sphynx,0,2.13,Mixed,F,Y,No,Yes,Berlin,Wet,Checkup Needed,,30.79,A,78.0,19.26,A,70.0,35.3,a,45.0,10.97,b,,58.0,D,87.0,53.45,B,55.0,58.11,B,50.0,40.67,Unknown,69.0,75.39,A,92.0,68.01,b,77.0,38.29,D,69.0,93.0,D
50,Shadow,Siamese,16,5.12,Black,Unknown,N,YES,Unknown,,dry,Checkup Needed,,43.1,A,65.0,55.2,C,88.0,51.97,a,80.0,N/A,Unknown,,43.2,B,,69.36,C,36.0,62.95, ,97.0,30.87,D,72.0,69.76,A,87.0,81.7,a,4.0,62.38,b,13.0,53.43,a
51,Shadow,maine coon,18,2.02,Mixed,,Y,No,,Sydney,Dry,,,31.8,a,32.0,28.39,A,60.0,34.44,C,66.0,47.11,b,42.0,52.16,D,97.0,16.81,C,50.0,,b,56.0,56.32,b,52.0,39.44,a,34.0,87.06,A,75.0,35.46,Unknown,,63.25,Unknown
52,Luna,,5,4.69,Gray,Unknown,N,No,Unknown,Tokyo,Dry,healthy,2024/01/05,24.73, ,85.0,16.74,b,57.0,63.22,A,61.0,51.35,b,36.0,52.11,a,13.0,46.74,a,77.0,73.32,B,61.0,88.61,B,67.0,unknown,A,20.0,70.87,A,82.0,56.28, ,,65.62,D
53,Chloe,Unknown,6,3.72,Gray,M,Yes,No,No,Berlin,Mixed,healthy,2024-01-05,60.31,B,96.0,35.09,D,61.0,37.81,C,97.0,62.7,A,56.0,51.53, ,49.0,50.72,a,59.0,error,Unknown,49.0,47.66,B,66.0,16.39,A,,51.03,B,87.0,30.41,b,38.0,58.04,D
54,Loki,Unknown,22,3.96,Mixed,Female,no,No,Unknown,Paris,wet,Healthy,2024-01-05,43.67,B,,45.58,A,71.0,92.13,A,13.0,52.05, ,60.0,32.05,C,69.0,55.39, ,39.0,53.13, ,80.0,50.44, ,79.0,18.24,D,38.0,39.07, ,60.0,59.99,a,2.0,8.48,b
55,Simba,,19,6.05,Brown,male,,,,London,wet,SICK,2024-01-05,36.85,D,29.0,72.23,Unknown,6.0,21.95,B,95.0,26.09,D,90.0,-5.11,Unknown,62.0,59.55,a,12.0,,C,96.0,27.53,C,,88.2, ,63.0,79.64,B,1.0,49.16, ,34.0,52.01,A
56,Leo,ABYSSINIAN,3,5.55, WHITE,M,,NO,Unknown,Berlin,,,2024/01/05,77.34,a,18.0,65.83, ,76.0,40.2,B,28.0,17.55, ,78.0,63.61,D,,82.57,B,20.0,49.39, ,7.0,40.6,a,,56.43,b,,73.61,Unknown,90.0,68.9,D,41.0,22.92,B
57,Oreo,,12,3.18,White,male,N,Yes,,TOKYO,Wet,healthy,05/01/2024,58.27,Unknown,,60.96,A,21.0,68.65,D,19.0,45.03,C,,32.49,C,,40.98,D,71.0,39.67,Unknown,60.0,57.03,A,32.0,17.07,Unknown,52.0,56.12, ,,62.77,D,73.0,41.82,b
58,Lucy,,17,1.93,,Unknown,N,NO,No,Toronto,wet,Sick,Jan 5 2024,41.44,b,,32.14, ,90.0,22.77,Unknown,5.0,74.23,a,96.0,61.72,a,7.0,26.15,Unknown,49.0,58.81,a,85.0,31.49,A,89.0,46.77,Unknown,64.0,80.96,D,69.0,58.96,b,25.0,60.02,B
59,Oliver,Unknown,24,2.64,Orange,M,no,,No,Paris,Mixed,,,53.87,b,68.0,57.99,Unknown,40.0,71.79,B,33.0,53.88,Unknown,36.0,70.2, ,75.0,56.61,B,3.0,55.46, ,7.0,70.09,A,,56.54,a,,37.42,A,10.0,67.49,Unknown,25.0,12.69,a
60,Simba,British Shorthair ,21,2.88,,male,yes,Yes,Unknown,London,Mixed,Sick,05/01/2024,57.11,Unknown,76.0,72.53,A,58.0,34.24,A,45.0,41.4, ,48.0,8.34,B,88.0,71.37,B,6.0,46.77,Unknown,18.0,34.44,D,56.0,61.28,A,36.0,73.37,A,69.0,74.32,Unknown,14.0,76.96,Unknown
61,Smokey, Sphynx,4,5.93,black ,Female,no,No,Unknown,Paris,,,Jan 5 2024,17.23,A,5.0,50.18,A,88.0,24.91,Unknown,18.0,22.6, ,83.0,67.09,Unknown,98.0,44.26,A,53.0,38.68,a,19.0,27.0, ,77.0,44.2,a,17.0,47.7,A,89.0,52.13,Unknown,86.0,18.92,Unknown
62,Oliver,Unknown,-2,4.66,Mixed,M,Y,No,No,TOKYO,Wet,Sick,2024/01/05,70.11,a,57.0,77.05,D,64.0,29.28,D,92.0,56.08,D,2.0,58.08,A,8.0,38.05, ,29.0,58.15,a,0.0,71.44,Unknown,22.0,37.43,Unknown,68.0,56.5,Unknown,83.0,77.51,Unknown,25.0,65.93,C
63,Luna,Ragdoll,6,7.64,Black,Unknown,N,,Yes,Toronto,Mixed,SICK,2024/01/05,52.17,A,12.0,47.68,A,2.0,47.62,Unknown,9.0,2.78, ,21.0,78.65,A,52.0,unknown, ,93.0,59.44,C,62.0,66.67,Unknown,31.0,70.74,b,39.0,46.36,Unknown,49.0,82.01,C,82.0,46.33,A
64,Luna,Ragdoll ,19,6.55,,M,,YES,,New York,Mixed,,05/01/2024,37.26,a,60.0,60.76,B,11.0,64.8,D,98.0,55.7, ,42.0,89.55,a,37.0,33.89,A,39.0,46.96,Unknown,53.0,66.19,D,88.0,78.38,a,91.0,34.22, ,6.0,52.8,C,55.0,10.99,a
65,Loki, Siamese,13,3.12,Gray,Unknown,Y,YES,Unknown,TOKYO,Wet,healthy,,76.47,D,91.0,46.47,B,19.0,62.71,b,8.0,56.98,a,66.0,92.23, ,49.0,34.57,C,59.0,40.97,D,41.0,54.72,C,,56.41,B,52.0,30.87,Unknown,21.0,38.48,a,99.0,74.66,D
66,Bella,,3,3.36,Mixed,Male,No,Yes,No,TOKYO,Dry,,2024/01/05,57.99,D,3.0,74.45,C,11.0,8.81,a,11.0,47.86,B,92.0,54.42,Unknown,93.0,66.77,D,86.0,3.38,C,7.0,35.1,Unknown,93.0,66.87,A,87.0,20.41, ,57.0,38.02,C,56.0,49.85, 
67,Bella,bengal,1,8.21,White,,no,YES,Unknown,Toronto,Dry,healthy,,83.13,Unknown,,56.97, ,69.0,72.59,D,95.0,33.47,B,94.0,88.35,D,,88.31,B,,17.7,Unknown,85.0,8.88,b,71.0,40.96,Unknown,26.0,34.52,D,75.0,41.06,a,90.0,17.83,D
68,Kitty,Unknown,12,3.05,black ,female,No,YES,,Berlin,,SICK,,32.42,Unknown,65.0,62.45,b,11.0,60.18,a,63.0,65.43,Unknown,39.0,68.49,D,,41.76,b,31.0,39.76,A,75.0,11.73,C,67.0,72.41,D,8.0,44.3,C,3.0,44.56, ,89.0,83.38,C
69,Nala,Sphynx,6,5.64,black ,M,N,YES,Yes,New York,Mixed,Checkup Needed,2024/01/05,62.47,D,21.0,53.04,a,35.0,75.3,A,94.0,36.62,a,13.0,83.3,Unknown,68.0,38.77,B,17.0,78.88,Unknown,66.0,68.62,Unknown,23.0,69.71,b,99.0,45.08,A,98.0,12.2,C,55.0,35.64,Unknown
70,Loki,BENGAL,7,4.3,Black,female,,No,No,TOKYO,Dry,,2024/01/05,62.72,D,44.0,50.98,A,97.0,54.63,a,45.0,22.61,C,21.0,54.33,A,86.0,52.62,b,50.0,35.05,b,40.0,34.24,A,96.0,47.79, ,,76.48, ,0.0,57.15, ,25.0,33.63,B
71,Milo,MAINE COON,23,6.49,,Male,Y,Yes,Yes,Tokyo,Mixed,Sick,2024-01-05,N/A, ,39.0,47.13,a,30.0,53.45, ,42.0,46.03,b,,50.07,a,98.0,32.08,b,43.0,74.04, ,97.0,55.2,Unknown,4.0,57.58,C,,34.6,b,81.0,56.38,b,,36.91,D
72,Loki,,21,4.27,Mixed,M,,,No, london,Mixed,Checkup Needed,05/01/2024,error,D,91.0,39.9,Unknown,6.0,40.19,B,15.0,4.33,B,12.0,102.83,C,48.0,55.01,a,47.0,52.77,B,44.0,20.38,A,47.0,66.51,b,67.0,80.51, ,23.0,32.29, ,,66.58,Unknown
73,Shadow,Persian,2,4.0,,Female,yes,No,No,Sydney,Mixed,Checkup Needed,Jan 5 2024,68.04,B,38.0,41.18,B,73.0,54.11,b,38.0,41.58,Unknown,,21.13, ,40.0,54.08,a,4.0,35.54,B,9.0,51.25,b,73.0,30.77,D,30.0,29.34,D,5.0,53.27,b,86.0,33.69,C
74,Chloe,,5,3.57, WHITE,Unknown,Yes,No,Unknown,Paris,Mixed,healthy,,31.28,B,34.0,19.84,a,78.0,37.65,a,32.0,38.29,Unknown,53.0,58.04,A,39.0,10.07,A,89.0,48.8, ,38.0,48.43,A,3.0,15.05,a,49.0,81.65,A,40.0,13.92,B,41.0,63.77,B
75,Chloe,Bengal,-1,5.6,Black,F,,,Yes,TOKYO,Dry,SICK,,32.43,b,61.0,9.0,A,4.0,31.43,B,12.0,22.83,B,69.0,27.4,Unknown,51.0,52.55,C,55.0,48.34,A,46.0,76.71,A,87.0,57.0,C,84.0,53.13,A,87.0,12.14, ,92.0,43.86,D
76,Nala,Abyssinian ,17,6.63,Black,Unknown,N,YES,No,TOKYO,,,Jan 5 2024,22.18, ,99.0,47.29,a,7.0,42.06,C,78.0,38.97,A,9.0,90.13,D,89.0,65.13, ,25.0,43.08,D,33.0,53.08,Unknown,59.0,32.96,a,2.0,42.31,D,43.0,29.54,A,3.0,56.07,a
77,Milo,Siamese,11,7.39,Orange,F,,NO,No,London,Wet,Healthy,2024-01-05,37.46,D,,55.29,a,71.0,59.15,B,87.0,39.42, ,82.0,57.2,C,,59.89,A,,61.6,B,94.0,54.03,b,16.0,64.46,C,43.0,60.93,D,42.0,29.99,D,56.0,70.08,B
78,Milo,Unknown,3,3.53, WHITE,Unknown,yes,Yes,,New York,,Sick,05/01/2024,39.48,D,64.0,42.77,B,9.0,57.5,D,37.0,37.27,b,18.0,51.1,a,35.0,29.46, ,34.0,36.92, ,25.0,-15.64,b,27.0,69.58,b,54.0,46.54,A,73.0,60.72,a,70.0,14.55,D
79,Simba,Bengal ,24,4.99,Orange,female,no,NO,Unknown,TOKYO,,SICK,2024-01-05,85.79,B,14.0,49.94, ,97.0,18.11,Unknown,62.0,72.37,B,94.0,16.82,C,55.0,23.61,A,63.0,63.3,C,84.0,56.03,B,69.0,65.45,C,90.0,49.79,D,54.0,9.22,D,13.0,73.22, 
80,Shadow, Siamese,6,4.83,Mixed,F,no,YES,No,Berlin,dry,Checkup Needed,Jan 5 2024,28.2,C,59.0,28.16,D,89.0,67.82,B,36.0,24.43,C,14.0,36.93,C,45.0,73.95,a,56.0,81.35,a,58.0,61.38,b,37.0,63.83,b,93.0,64.6,A,93.0,41.61,A,64.0,35.23,b
81,Shadow,SIAMESE,7,7.5,Gray,Male,No,Yes,No, london,Wet,,05/01/2024,87.35,Unknown,,55.79,C,22.0,91.33,b,32.0,17.43,C,96.0,63.75,D,,41.52,B,,69.77,D,52.0,52.83,B,35.0,9.2,b,47.0,16.0,C,6.0,52.2,D,38.0,62.76,C
